name,label,concept,geography
B10050_001,Estimate!!Total:,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_002,Estimate!!Total:!!Living with own grandchildren under 18 years:,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_003,Estimate!!Total:!!Living with own grandchildren under 18 years:!!Grandparent responsible for own grandchildren under 18 years:,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_004,Estimate!!Total:!!Living with own grandchildren under 18 years:!!Grandparent responsible for own grandchildren under 18 years:!!Grandparent responsible less than 6 months,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_005,Estimate!!Total:!!Living with own grandchildren under 18 years:!!Grandparent responsible for own grandchildren under 18 years:!!Grandparent responsible 6 to 11 months,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_006,Estimate!!Total:!!Living with own grandchildren under 18 years:!!Grandparent responsible for own grandchildren under 18 years:!!Grandparent responsible 1 or 2 years,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_007,Estimate!!Total:!!Living with own grandchildren under 18 years:!!Grandparent responsible for own grandchildren under 18 years:!!Grandparent responsible 3 or 4 years,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_008,Estimate!!Total:!!Living with own grandchildren under 18 years:!!Grandparent responsible for own grandchildren under 18 years:!!Grandparent responsible 5 years or more,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_009,Estimate!!Total:!!Living with own grandchildren under 18 years:!!Grandparent not responsible for own grandchildren under 18 years,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
B10050_010,Estimate!!Total:!!Not living with own grandchildren under 18 years,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over,NA
