geoid,name,estimate_coresident_grandparents_total,estimate_responsible_total,estimate_less_than_six_months,estimate_six_to_eleven_months,estimate_one_or_two_years,estimate_three_or_four_years,estimate_five_plus_years,estimate_not_responsible,moe_coresident_grandparents_total,moe_responsible_total,moe_less_than_six_months,moe_six_to_eleven_months,moe_one_or_two_years,moe_three_or_four_years,moe_five_plus_years,moe_not_responsible,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status,pct_responsible,moe_ratio,moe_exceeds_estimate,high_moe_flag,severe_moe_flag,cv_responsible_percent,responsible_ci90_lower,responsible_ci90_upper,pct_responsible_moe,percent_responsible_grandparents_less_than_six_months,percent_responsible_grandparents_less_than_six_months_moe,percent_responsible_grandparents_six_to_eleven_months,percent_responsible_grandparents_six_to_eleven_months_moe,percent_responsible_grandparents_one_or_two_years,percent_responsible_grandparents_one_or_two_years_moe,percent_responsible_grandparents_three_or_four_years,percent_responsible_grandparents_three_or_four_years_moe,percent_responsible_grandparents_five_plus_years,percent_responsible_grandparents_five_plus_years_moe,pct_responsible_ci90_lower,pct_responsible_ci90_upper,pct_responsible_cv_percent,pct_responsible_exclusion,percent_responsible_grandparents_less_than_six_months_ci90_lower,percent_responsible_grandparents_less_than_six_months_ci90_upper,percent_responsible_grandparents_less_than_six_months_cv_percent,percent_responsible_grandparents_less_than_six_months_exclusion,percent_responsible_grandparents_six_to_eleven_months_ci90_lower,percent_responsible_grandparents_six_to_eleven_months_ci90_upper,percent_responsible_grandparents_six_to_eleven_months_cv_percent,percent_responsible_grandparents_six_to_eleven_months_exclusion,percent_responsible_grandparents_one_or_two_years_ci90_lower,percent_responsible_grandparents_one_or_two_years_ci90_upper,percent_responsible_grandparents_one_or_two_years_cv_percent,percent_responsible_grandparents_one_or_two_years_exclusion,percent_responsible_grandparents_three_or_four_years_ci90_lower,percent_responsible_grandparents_three_or_four_years_ci90_upper,percent_responsible_grandparents_three_or_four_years_cv_percent,percent_responsible_grandparents_three_or_four_years_exclusion,percent_responsible_grandparents_five_plus_years_ci90_lower,percent_responsible_grandparents_five_plus_years_ci90_upper,percent_responsible_grandparents_five_plus_years_cv_percent,percent_responsible_grandparents_five_plus_years_exclusion,acs_year,acs_period,acs_product,state_fips,map_pct_responsible,five_core_county,national_rank_caregiver_count,national_percentile_caregiver_count,national_decile_caregiver_count,eligible_n_caregiver_count,exclusion_reason_caregiver_count,national_rank_caregiving_percent,national_percentile_caregiving_percent,national_decile_caregiving_percent,eligible_n_caregiving_percent,exclusion_reason_caregiving_percent,national_rank_less_than_six_months,national_percentile_less_than_six_months,national_decile_less_than_six_months,eligible_n_less_than_six_months,exclusion_reason_less_than_six_months,national_rank_six_to_eleven_months,national_percentile_six_to_eleven_months,national_decile_six_to_eleven_months,eligible_n_six_to_eleven_months,exclusion_reason_six_to_eleven_months,national_rank_one_or_two_years,national_percentile_one_or_two_years,national_decile_one_or_two_years,eligible_n_one_or_two_years,exclusion_reason_one_or_two_years,national_rank_three_or_four_years,national_percentile_three_or_four_years,national_decile_three_or_four_years,eligible_n_three_or_four_years,exclusion_reason_three_or_four_years,national_rank_five_plus_years,national_percentile_five_plus_years,national_decile_five_plus_years,eligible_n_five_plus_years,exclusion_reason_five_plus_years,county,precision
13135,"Gwinnett County, Georgia",26392,6214,344,514,1299,1009,3048,20178,1996,1006,142,260,395,398,664,1787,6214,0,Pass,26392,0,Pass,23.54501364049712,0.1618925008046347,FALSE,FALSE,FALSE,9.842365189945928,5208,7220,3.3702644914523585,5.535886707434825,2.1020847127668123,8.271644673318313,3.9640208530862497,20.904409398133247,5.380825110795465,16.237528162214353,5.840582262525065,49.05053105889926,7.150024534285852,20.174749149044764,26.91527813194948,8.702374754219276,Retained,3.4338019946680127,7.637971420201637,23.08531279492263,Retained,4.307623820232063,12.235665526404564,29.13511949139023,Retained,15.523584287337782,26.28523450892871,15.64889648459828,Retained,10.396945899689287,22.078110424739418,21.867995259942187,Retained,41.900506524613405,56.200555593185115,8.862098269101592,Retained,2024,2020-2024,ACS five-year,13,23.54501364049712,TRUE,40,98.74363867684478,10,3144,Retained,1400,8.589157413455258,1,1531,Retained,126,4.924242424242424,1,132,Retained,65,45.79831932773109,5,119,Retained,193,54.166666666666664,6,420,Retained,200,43.644067796610166,5,354,Retained,773,42.22139117427076,5,1337,Retained,Gwinnett,MOE at most 30% of count
13089,"DeKalb County, Georgia",16072,5526,683,800,935,585,2523,10546,1198,731,306,303,389,203,482,999,5526,0,Pass,16072,0,Pass,34.3827775012444,0.1322837495475932,FALSE,FALSE,FALSE,8.04228092883647,4795,6257,3.7574638529634607,12.359753890698515,5.290581065620827,14.477017734346726,5.137864266670131,16.920014477017734,6.6741383700544405,10.586319218241044,3.3961456758523454,45.65689467969598,6.293072488046772,30.625313648280937,38.14024135420786,6.643953706148315,Retained,7.069172825077688,17.65033495631934,26.0235351939152,Retained,9.339153467676596,19.614882001016856,21.576264805884147,Retained,10.245876106963294,23.594152847072177,23.980996143416156,Retained,7.190173542388697,13.982464894093388,19.503567984653184,Retained,39.363822191649206,51.94996716774275,8.37971228587618,Retained,2024,2020-2024,ACS five-year,13,34.3827775012444,TRUE,46,98.53689567430024,10,3144,Retained,1088,28.96799477465709,3,1531,Retained,33,75.37878787878788,8,132,Retained,13,89.49579831932773,9,119,Retained,305,27.5,3,420,Retained,331,6.638418079096045,1,354,Retained,913,31.75018698578908,4,1337,Retained,DeKalb,MOE at most 30% of count
13121,"Fulton County, Georgia",16976,5388,505,382,879,413,3209,11588,1499,924,215,137,394,157,646,1141,5388,0,Pass,16976,0,Pass,31.738925541941565,0.1714922048997773,FALSE,FALSE,FALSE,10.42598575884326,4464,6312,4.66599843766421,9.37268002969562,3.6523057960449057,7.0898292501855975,2.233151846331124,16.31403118040089,6.75618577974454,7.665181885671863,2.6005292446916863,59.55827765404603,6.279279869409129,27.072927104277355,36.404923979605776,8.937686388025307,Retained,5.720374233650714,13.024985825740524,23.69060134242695,Retained,4.856677403854473,9.322981096516722,19.149402246011043,Retained,9.557845400656348,23.07021696014543,25.177525144094428,Retained,5.064652640980177,10.265711130363549,20.62585786583832,Retained,53.2789977846369,65.83755752345516,6.409740587644382,Retained,2024,2020-2024,ACS five-year,13,31.738925541941565,TRUE,50,98.42557251908396,10,3144,Retained,1178,23.08948399738733,3,1531,Retained,72,45.833333333333336,5,132,Retained,81,32.35294117647059,4,119,Retained,323,23.214285714285715,3,420,Retained,349,1.5536723163841808,1,354,Retained,356,73.41062079281974,8,1337,Retained,Fulton,MOE at most 30% of count
13067,"Cobb County, Georgia",14569,3775,124,364,726,539,2022,10794,1225,755,86,211,255,175,681,1093,3775,0,Pass,14569,0,Pass,25.91118127531059,0.2,FALSE,FALSE,FALSE,12.159136638235388,3020,4530,4.702012720703623,3.28476821192053,2.18136648022859,9.642384105960264,5.246180889867754,19.2317880794702,5.552937127390961,14.27814569536424,3.6518033536694334,53.56291390728477,14.514565532757445,21.20916855460697,30.61319399601421,11.032382996801632,Retained,1.1034017316919402,5.4661346921491205,40.37352315288375,Percentage MOE exceeds 50% of estimate,4.39620321609251,14.88856499582802,33.077416107791905,Percentage MOE exceeds 50% of estimate,13.678850952079236,24.78472520686116,17.553989518934273,Retained,10.626342341694803,17.929949049033674,15.549209575459562,Retained,39.04834837452733,68.07747944004221,16.474513117686914,Retained,2024,2020-2024,ACS five-year,13,25.91118127531059,TRUE,92,97.08969465648856,10,3144,Retained,1351,11.78967994774657,2,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,237,43.69047619047619,5,420,Retained,252,28.954802259887007,3,354,Retained,556,58.45175766641735,6,1337,Retained,Cobb,MOE at most 30% of count
13063,"Clayton County, Georgia",8836,3318,575,217,836,288,1402,5518,1057,626,279,220,380,154,384,839,3318,0,Pass,8836,0,Pass,37.55092802172929,0.188667872212176,FALSE,FALSE,FALSE,11.470192187364908,2692,3944,5.4785248620053295,17.329716696805306,7.746991058666423,6.5400843881856545,6.514676940969004,25.19590114526823,10.4195334507716,8.679927667269439,4.3428471197736185,42.25437010247137,8.389657733085565,32.07240315972396,43.02945288373462,8.869838361191155,Retained,9.582725638138882,25.07670775547173,27.17780228769632,Retained,0.02540744721665078,13.054761329154658,60.55949921861683,Percentage MOE exceeds 50% of estimate,14.776367694496637,35.61543459603983,25.14149627039414,Retained,4.3370805474958205,13.022774787043058,30.41803661994461,Percentage MOE exceeds 50% of estimate,33.864712369385806,50.64402783555693,12.071058505573266,Retained,2024,2020-2024,ACS five-year,13,37.55092802172929,TRUE,117,96.29452926208651,10,3144,Retained,947,38.17766165904637,4,1531,Retained,7,95.07575757575758,10,132,Retained,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,101,76.07142857142857,8,420,Retained,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,1042,22.101720269259538,3,1337,Retained,Clayton,MOE at most 30% of count
13151,"Henry County, Georgia",7623,2267,229,102,349,426,1161,5356,889,659,114,72,188,204,572,634,2267,0,Pass,7623,0,Pass,29.7389479207661,0.2906925452139391,FALSE,FALSE,FALSE,17.67285188486352,1608,2926,7.918703745831131,10.101455668284077,4.0822781383406,4.499338332598148,2.894189512388829,15.394794883105426,6.981774313459859,18.79135421261579,7.151028145910875,51.21305690339656,20.37160973061843,21.82024417493497,37.65765166659723,16.188299784477838,Retained,6.019177529943477,14.183733806624677,24.56922017448022,Retained,1.605148820209319,7.393527844986977,39.106689847174295,Percentage MOE exceeds 50% of estimate,8.413020569645568,22.376569196565285,27.57176971154164,Retained,11.640326066704915,25.942382358526665,23.13572703334555,Retained,30.84144717277812,71.584666634015,24.18340177609737,Retained,2024,2020-2024,ACS five-year,13,29.7389479207661,FALSE,192,93.9090330788804,10,3144,Retained,1241,18.9745264532985,2,1531,Retained,60,54.92424242424242,6,132,Retained,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,354,15.833333333333334,2,420,Retained,129,63.70056497175141,7,354,Retained,667,50.149588631264024,6,1337,Retained,Henry,MOE at most 30% of count
13051,"Chatham County, Georgia",5025,2176,219,215,374,387,981,2849,648,440,144,145,203,187,274,504,2176,0,Pass,5025,0,Pass,43.30348258706468,0.2022058823529412,FALSE,FALSE,FALSE,12.293244762921807,1736,2616,6.744476624411874,10.064338235294118,6.2969634928505105,9.880514705882351,6.357043885584831,17.1875,8.657514911191122,17.784926470588236,7.805111411929387,45.08272058823529,8.686480564190093,36.559005962652805,50.04795921147655,9.46887039220549,Retained,3.7673747424436073,16.36130172814463,38.03808940315875,Percentage MOE exceeds 50% of estimate,3.523470820297522,16.237558591467184,39.115454771838245,Percentage MOE exceeds 50% of estimate,8.529985088808878,25.84501491119112,30.623391055340555,Percentage MOE exceeds 50% of estimate,9.979815058658849,25.59003788251762,26.68085704240778,Retained,36.3962400240452,53.76920115242538,11.714033969915937,Retained,2024,2020-2024,ACS five-year,13,43.30348258706468,FALSE,202,93.5909669211196,10,3144,Retained,705,53.984323971260615,6,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,151,57.48587570621469,6,354,Retained,947,29.20718025430067,3,1337,Retained,Chatham,MOE at most 30% of count
13215,"Muscogee County, Georgia",4411,2052,90,230,504,424,804,2359,639,420,80,181,232,144,267,437,2052,0,Pass,4411,0,Pass,46.52006347766947,0.2046783625730994,FALSE,FALSE,FALSE,12.443560887083,1632,2472,6.726507128337798,4.385964912280701,3.793872894927994,11.20857699805068,8.517097676035124,24.561403508771928,10.126894292485709,20.66276803118908,5.59996491943605,39.1812865497076,10.246504892608838,39.793556349331666,53.24657060600727,8.790671503574334,Retained,0.5920920173527073,8.179837807208695,52.58844956598093,Percentage MOE exceeds 50% of estimate,2.6914793220155566,19.72567467408581,46.1970125298326,Percentage MOE exceeds 50% of estimate,14.43450921628622,34.68829780125763,25.06662361117175,Retained,15.06280311175303,26.262732950625132,16.47667401627151,Retained,28.93478165709876,49.42779144231644,15.898999755344692,Retained,2024,2020-2024,ACS five-year,13,46.52006347766947,FALSE,214,93.2092875318066,10,3144,Retained,581,62.08360548661006,7,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,115,72.61904761904762,8,420,Retained,88,75.28248587570621,8,354,Retained,1136,15.033657442034404,2,1337,Retained,Muscogee,MOE at most 30% of count
13245,"Richmond County, Georgia",5213,2037,202,59,289,197,1290,3176,798,515,139,43,171,134,350,636,2037,0,Pass,5213,0,Pass,39.075388451947056,0.25282277859597446,FALSE,FALSE,FALSE,15.370533551033931,1522,2552,7.862432862725699,9.916543937162494,6.3464962507669265,2.896416298478154,1.9798649463890787,14.187530682376044,7.589788037835859,9.671084928816889,6.107018876578273,63.32842415316642,6.235199453354904,31.21295558922136,46.93782131467275,12.232814474051684,Retained,3.5700476863955677,16.26304018792942,38.90867401793834,Percentage MOE exceeds 50% of estimate,0.9165513520890752,4.876281244867233,41.55730034568261,Percentage MOE exceeds 50% of estimate,6.597742644540183,21.777318720211905,32.52337276772511,Percentage MOE exceeds 50% of estimate,3.5640660522386156,15.778103805395162,38.39076872923403,Percentage MOE exceeds 50% of estimate,57.093224699811515,69.56362360652132,5.985830465055253,Retained,2024,2020-2024,ACS five-year,13,39.075388451947056,FALSE,216,93.14567430025446,10,3144,Retained,884,42.2926192031352,5,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,252,81.18922961854899,9,1337,Retained,Richmond,MOE at most 30% of count
13077,"Coweta County, Georgia",3760,1744,204,80,74,185,1201,2016,676,527,132,82,87,109,508,428,1744,0,Pass,3760,0,Pass,46.38297872340426,0.3021788990825688,FALSE,TRUE,FALSE,18.37117261568248,1217,2271,11.265301469238391,11.69724770642202,6.692758257036026,4.587155963302752,4.492867920692879,4.2431192660550465,4.820940179927686,10.607798165137616,5.365405160041978,68.86467889908256,20.382166471481447,35.11767725416586,57.64828019264265,14.765798101520696,Retained,5.004489449385993,18.390005963458044,34.785175186681286,Percentage MOE exceeds 50% of estimate,0.09428804260987356,9.080023883995633,59.54604049032166,Percentage MOE exceeds 50% of estimate,0,9.064059445982732,69.07473806056737,Percentage MOE exceeds 50% of estimate,5.242393005095637,15.973203325179592,30.750346794328017,Percentage MOE exceeds 50% of estimate,48.482512427601115,89.24684537056402,17.99395212988531,Retained,2024,2020-2024,ACS five-year,13,46.38297872340426,FALSE,258,91.80979643765905,10,3144,Retained,590,61.49575440888308,7,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,144,89.26701570680628,9,1337,Retained,Coweta,MOE above 30% of count
