geoid,name,metric,reason
13251,"Screven County, Georgia",pct_responsible_exclusion,Retained
13251,"Screven County, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
13251,"Screven County, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
13251,"Screven County, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
13251,"Screven County, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
13251,"Screven County, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
13303,"Washington County, Georgia",pct_responsible_exclusion,Retained
13303,"Washington County, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
13303,"Washington County, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
13303,"Washington County, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
13303,"Washington County, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
13303,"Washington County, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
13131,"Grady County, Georgia",pct_responsible_exclusion,Retained
13131,"Grady County, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
13131,"Grady County, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
13131,"Grady County, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Retained
13131,"Grady County, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
13131,"Grady County, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
13033,"Burke County, Georgia",pct_responsible_exclusion,Retained
13033,"Burke County, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
13033,"Burke County, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
13033,"Burke County, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
13033,"Burke County, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
13033,"Burke County, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
13191,"McIntosh County, Georgia",pct_responsible_exclusion,Retained
13191,"McIntosh County, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
13191,"McIntosh County, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
13191,"McIntosh County, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
13191,"McIntosh County, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
13191,"McIntosh County, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
13145,"Harris County, Georgia",pct_responsible_exclusion,Retained
13145,"Harris County, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
13145,"Harris County, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
13145,"Harris County, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
13145,"Harris County, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
13145,"Harris County, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
