geoid,name,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status
13001,"Appling County, Georgia",250,0,Pass,511,0,Pass
13003,"Atkinson County, Georgia",94,0,Pass,232,0,Pass
13005,"Bacon County, Georgia",35,0,Pass,126,0,Pass
13007,"Baker County, Georgia",27,0,Pass,92,0,Pass
13009,"Baldwin County, Georgia",298,0,Pass,646,0,Pass
13011,"Banks County, Georgia",233,0,Pass,658,0,Pass
13013,"Barrow County, Georgia",385,0,Pass,2034,0,Pass
13015,"Bartow County, Georgia",1447,0,Pass,4363,0,Pass
13017,"Ben Hill County, Georgia",184,0,Pass,384,0,Pass
13019,"Berrien County, Georgia",300,0,Pass,499,0,Pass
13021,"Bibb County, Georgia",1048,0,Pass,2563,0,Pass
13023,"Bleckley County, Georgia",205,0,Pass,217,0,Pass
13025,"Brantley County, Georgia",491,0,Pass,742,0,Pass
13027,"Brooks County, Georgia",227,0,Pass,429,0,Pass
13029,"Bryan County, Georgia",318,0,Pass,818,0,Pass
13031,"Bulloch County, Georgia",1046,0,Pass,2009,0,Pass
13033,"Burke County, Georgia",500,0,Pass,798,0,Pass
13035,"Butts County, Georgia",254,0,Pass,655,0,Pass
13037,"Calhoun County, Georgia",8,0,Pass,63,0,Pass
13039,"Camden County, Georgia",312,0,Pass,1145,0,Pass
13043,"Candler County, Georgia",117,0,Pass,135,0,Pass
13045,"Carroll County, Georgia",1097,0,Pass,3475,0,Pass
13047,"Catoosa County, Georgia",798,0,Pass,1687,0,Pass
13049,"Charlton County, Georgia",137,0,Pass,404,0,Pass
13051,"Chatham County, Georgia",2176,0,Pass,5025,0,Pass
13053,"Chattahoochee County, Georgia",87,0,Pass,228,0,Pass
13055,"Chattooga County, Georgia",463,0,Pass,948,0,Pass
13057,"Cherokee County, Georgia",995,0,Pass,4587,0,Pass
13059,"Clarke County, Georgia",269,0,Pass,1589,0,Pass
13061,"Clay County, Georgia",36,0,Pass,127,0,Pass
13063,"Clayton County, Georgia",3318,0,Pass,8836,0,Pass
13065,"Clinch County, Georgia",46,0,Pass,161,0,Pass
13067,"Cobb County, Georgia",3775,0,Pass,14569,0,Pass
13069,"Coffee County, Georgia",613,0,Pass,1227,0,Pass
13071,"Colquitt County, Georgia",469,0,Pass,1186,0,Pass
13073,"Columbia County, Georgia",962,0,Pass,4213,0,Pass
13075,"Cook County, Georgia",191,0,Pass,426,0,Pass
13077,"Coweta County, Georgia",1744,0,Pass,3760,0,Pass
13079,"Crawford County, Georgia",115,0,Pass,347,0,Pass
13081,"Crisp County, Georgia",252,0,Pass,556,0,Pass
13083,"Dade County, Georgia",242,0,Pass,431,0,Pass
13085,"Dawson County, Georgia",175,0,Pass,551,0,Pass
13087,"Decatur County, Georgia",259,0,Pass,1093,0,Pass
13089,"DeKalb County, Georgia",5526,0,Pass,16072,0,Pass
13091,"Dodge County, Georgia",179,0,Pass,902,0,Pass
13093,"Dooly County, Georgia",57,0,Pass,276,0,Pass
13095,"Dougherty County, Georgia",855,0,Pass,1686,0,Pass
13097,"Douglas County, Georgia",1495,0,Pass,5233,0,Pass
13099,"Early County, Georgia",111,0,Pass,218,0,Pass
13101,"Echols County, Georgia",162,0,Pass,162,0,Pass
13103,"Effingham County, Georgia",772,0,Pass,1472,0,Pass
13105,"Elbert County, Georgia",162,0,Pass,305,0,Pass
13107,"Emanuel County, Georgia",193,0,Pass,537,0,Pass
13109,"Evans County, Georgia",22,0,Pass,211,0,Pass
13111,"Fannin County, Georgia",220,0,Pass,690,0,Pass
13113,"Fayette County, Georgia",553,0,Pass,2563,0,Pass
13115,"Floyd County, Georgia",973,0,Pass,2629,0,Pass
13117,"Forsyth County, Georgia",983,0,Pass,4880,0,Pass
13119,"Franklin County, Georgia",301,0,Pass,736,0,Pass
13121,"Fulton County, Georgia",5388,0,Pass,16976,0,Pass
13123,"Gilmer County, Georgia",351,0,Pass,748,0,Pass
13125,"Glascock County, Georgia",69,0,Pass,130,0,Pass
13127,"Glynn County, Georgia",838,0,Pass,1690,0,Pass
13129,"Gordon County, Georgia",520,0,Pass,1261,0,Pass
13131,"Grady County, Georgia",496,0,Pass,746,0,Pass
13133,"Greene County, Georgia",171,0,Pass,576,0,Pass
13135,"Gwinnett County, Georgia",6214,0,Pass,26392,0,Pass
13137,"Habersham County, Georgia",525,0,Pass,1194,0,Pass
13139,"Hall County, Georgia",1680,0,Pass,5659,0,Pass
13141,"Hancock County, Georgia",140,0,Pass,225,0,Pass
13143,"Haralson County, Georgia",288,0,Pass,726,0,Pass
13145,"Harris County, Georgia",480,0,Pass,841,0,Pass
13147,"Hart County, Georgia",165,0,Pass,627,0,Pass
13149,"Heard County, Georgia",230,0,Pass,639,0,Pass
