geoid,name,estimate_coresident_grandparents_total,estimate_responsible_total,estimate_less_than_six_months,estimate_six_to_eleven_months,estimate_one_or_two_years,estimate_three_or_four_years,estimate_five_plus_years,estimate_not_responsible,moe_coresident_grandparents_total,moe_responsible_total,moe_less_than_six_months,moe_six_to_eleven_months,moe_one_or_two_years,moe_three_or_four_years,moe_five_plus_years,moe_not_responsible,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status,pct_responsible,moe_ratio,moe_exceeds_estimate,high_moe_flag,severe_moe_flag,cv_responsible_percent,responsible_ci90_lower,responsible_ci90_upper,pct_responsible_moe,percent_responsible_grandparents_less_than_six_months,percent_responsible_grandparents_less_than_six_months_moe,percent_responsible_grandparents_six_to_eleven_months,percent_responsible_grandparents_six_to_eleven_months_moe,percent_responsible_grandparents_one_or_two_years,percent_responsible_grandparents_one_or_two_years_moe,percent_responsible_grandparents_three_or_four_years,percent_responsible_grandparents_three_or_four_years_moe,percent_responsible_grandparents_five_plus_years,percent_responsible_grandparents_five_plus_years_moe,pct_responsible_ci90_lower,pct_responsible_ci90_upper,pct_responsible_cv_percent,pct_responsible_exclusion,percent_responsible_grandparents_less_than_six_months_ci90_lower,percent_responsible_grandparents_less_than_six_months_ci90_upper,percent_responsible_grandparents_less_than_six_months_cv_percent,percent_responsible_grandparents_less_than_six_months_exclusion,percent_responsible_grandparents_six_to_eleven_months_ci90_lower,percent_responsible_grandparents_six_to_eleven_months_ci90_upper,percent_responsible_grandparents_six_to_eleven_months_cv_percent,percent_responsible_grandparents_six_to_eleven_months_exclusion,percent_responsible_grandparents_one_or_two_years_ci90_lower,percent_responsible_grandparents_one_or_two_years_ci90_upper,percent_responsible_grandparents_one_or_two_years_cv_percent,percent_responsible_grandparents_one_or_two_years_exclusion,percent_responsible_grandparents_three_or_four_years_ci90_lower,percent_responsible_grandparents_three_or_four_years_ci90_upper,percent_responsible_grandparents_three_or_four_years_cv_percent,percent_responsible_grandparents_three_or_four_years_exclusion,percent_responsible_grandparents_five_plus_years_ci90_lower,percent_responsible_grandparents_five_plus_years_ci90_upper,percent_responsible_grandparents_five_plus_years_cv_percent,percent_responsible_grandparents_five_plus_years_exclusion,acs_year,acs_period,acs_product,state_fips,map_pct_responsible,five_core_county,national_rank_caregiver_count,national_percentile_caregiver_count,national_decile_caregiver_count,eligible_n_caregiver_count,exclusion_reason_caregiver_count,national_rank_caregiving_percent,national_percentile_caregiving_percent,national_decile_caregiving_percent,eligible_n_caregiving_percent,exclusion_reason_caregiving_percent,national_rank_less_than_six_months,national_percentile_less_than_six_months,national_decile_less_than_six_months,eligible_n_less_than_six_months,exclusion_reason_less_than_six_months,national_rank_six_to_eleven_months,national_percentile_six_to_eleven_months,national_decile_six_to_eleven_months,eligible_n_six_to_eleven_months,exclusion_reason_six_to_eleven_months,national_rank_one_or_two_years,national_percentile_one_or_two_years,national_decile_one_or_two_years,eligible_n_one_or_two_years,exclusion_reason_one_or_two_years,national_rank_three_or_four_years,national_percentile_three_or_four_years,national_decile_three_or_four_years,eligible_n_three_or_four_years,exclusion_reason_three_or_four_years,national_rank_five_plus_years,national_percentile_five_plus_years,national_decile_five_plus_years,eligible_n_five_plus_years,exclusion_reason_five_plus_years
13251,"Screven County, Georgia",321,242,0,17,22,34,169,79,130,111,23,20,48,35,87,65,242,0,Pass,321,0,Pass,75.38940809968847,0.45867768595041325,FALSE,TRUE,FALSE,27.885623281903474,131,353,16.234621309569178,0,9.50413223140496,7.024793388429752,7.610473978389544,9.090909090909092,19.391455387871208,14.049586776859504,12.947769895333408,69.83471074380165,16.321988402042546,59.15478679011929,91.62402940925764,13.091957063254572,Retained,0,9.50413223140496,NA,Unavailable MOE or zero percentage,0,14.635267366819296,65.86442324224573,Percentage MOE exceeds 50% of estimate,0,28.482364478780298,129.6808456214545,Percentage MOE exceeds 50% of estimate,1.101816881526096,26.997356672192915,56.02787676897807,Percentage MOE exceeds 50% of estimate,53.5127223417591,86.1566991458442,14.209358431812758,Retained,2024,2020-2024,ACS five-year,13,75.38940809968847,FALSE,1503,52.099236641221374,6,3144,Retained,34,97.81188765512736,10,1531,Retained,NA,NA,NA,132,Unavailable MOE or zero percentage,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,132,90.16454749439043,10,1337,Retained
13303,"Washington County, Georgia",801,588,5,46,117,91,329,213,250,215,8,44,104,68,172,129,588,0,Pass,801,0,Pass,73.40823970037454,0.3656462585034014,FALSE,TRUE,FALSE,22.229714092011974,373,803,13.983184870682003,0.8503401360544218,1.3245403080970297,7.8231292517006805,6.914675604967218,19.897959183673468,16.121353919540216,15.476190476190476,10.085555388797323,55.952380952380956,20.90694537141542,59.425054829692534,87.39142457105655,11.580679238073381,Retained,0,2.1748804441514515,94.69896754333283,Percentage MOE exceeds 50% of estimate,0.908453646733463,14.737804856667898,53.73584072613389,Percentage MOE exceeds 50% of estimate,3.776605264133252,36.01931310321368,49.256746204877,Percentage MOE exceeds 50% of estimate,5.390635087393154,25.5617458649878,39.619454876037466,Percentage MOE exceeds 50% of estimate,35.04543558096553,76.85932632379638,22.716674530393288,Retained,2024,2020-2024,ACS five-year,13,73.40823970037454,FALSE,773,75.39758269720102,8,3144,Retained,43,97.2240365774004,10,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,467,65.10845175766642,7,1337,Retained
13131,"Grady County, Georgia",746,496,17,0,102,29,348,250,245,196,30,27,64,36,183,119,496,0,Pass,746,0,Pass,66.48793565683646,0.3951612903225806,FALSE,TRUE,FALSE,24.024100615868306,300,692,14.611306084110096,3.4274193548387095,5.89479702194788,0,5.443548387096774,20.56451612903226,10.022797647551105,5.846774193548387,6.880513449537052,70.16129032258065,24.34288107703023,51.87662957272636,81.09924174094655,13.360383758696768,Retained,0,9.322216376786589,104.56211368378104,Percentage MOE exceeds 50% of estimate,0,5.443548387096774,NA,Unavailable MOE or zero percentage,10.541718481481155,30.587313776583365,29.63078861892314,Retained,0,12.72728764308544,71.54466754202089,Percentage MOE exceeds 50% of estimate,45.81840924555043,94.50417139961088,21.093427431498114,Retained,2024,2020-2024,ACS five-year,13,66.48793565683646,FALSE,903,71.27862595419847,8,3144,Retained,91,94.08883082952319,10,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Unavailable MOE or zero percentage,201,52.26190476190476,6,420,Retained,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,125,90.68810770381451,10,1337,Retained
13033,"Burke County, Georgia",798,500,2,0,130,60,308,298,258,219,4,27,94,71,176,133,500,0,Pass,798,0,Pass,62.65664160401002,0.438,FALSE,TRUE,FALSE,26.628509237735496,281,719,18.51456179093896,0.4,0.7805798870070891,0,5.4,26,14.95839082254505,12,13.191454203384856,61.6,22.60699960985535,44.142079813071064,81.17120339494898,17.964662711723697,Retained,0,1.1805798870070892,118.63971878971921,Percentage MOE exceeds 50% of estimate,0,5.4,NA,Unavailable MOE or zero percentage,11.04160917745495,40.95839082254505,34.97713805758683,Percentage MOE exceeds 50% of estimate,0,25.191454203384858,66.83195588165876,Percentage MOE exceeds 50% of estimate,38.99300039014465,84.20699960985536,22.31181795752965,Retained,2024,2020-2024,ACS five-year,13,62.65664160401002,FALSE,896,71.50127226463104,8,3144,Retained,144,90.62704114957545,10,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Unavailable MOE or zero percentage,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,301,77.5243081525804,8,1337,Retained
13191,"McIntosh County, Georgia",500,312,0,35,10,33,234,188,192,151,23,66,22,35,124,124,312,0,Pass,500,0,Pass,62.4,0.483974358974359,FALSE,TRUE,FALSE,29.42355180085807,161,463,18.381559385427558,0,7.371794871794872,11.217948717948719,20.445268388012977,3.205128205128205,6.878543271265694,10.576923076923077,9.981914966549105,75,16.186492436385418,44.01844061457244,80.78155938542756,17.908965720452866,Retained,0,7.371794871794872,NA,Unavailable MOE or zero percentage,0,31.663217105961696,110.80315046256604,Percentage MOE exceeds 50% of estimate,0,10.0836714763939,130.47395011144135,Percentage MOE exceeds 50% of estimate,0.5950081103739713,20.558838043472182,57.37560304959004,Percentage MOE exceeds 50% of estimate,58.81350756361458,91.18649243638542,13.120918215184927,Retained,2024,2020-2024,ACS five-year,13,62.4,FALSE,1275,59.38295165394402,6,3144,Retained,148,90.365774003919,10,1531,Retained,NA,NA,NA,132,Unavailable MOE or zero percentage,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,66,95.0261780104712,10,1337,Retained
13145,"Harris County, Georgia",841,480,36,12,110,24,298,361,276,214,54,18,89,38,168,152,480,0,Pass,841,0,Pass,57.07491082045184,0.44583333333333336,FALSE,TRUE,FALSE,27.10474208939972,266,694,17.22346103105145,7.5,10.741593733590001,2.5,3.5805312445300013,22.916666666666664,15.472751208884262,5,7.596343007219549,62.083333333333336,21.42155349552978,39.85144978940039,74.29837185150329,18.346276240245487,Retained,0,18.24159373359,87.07233727942256,Percentage MOE exceeds 50% of estimate,0,6.080531244530001,87.07233727942257,Percentage MOE exceeds 50% of estimate,7.443915457782403,38.389417875550926,41.047700971253576,Percentage MOE exceeds 50% of estimate,0,12.596343007219549,92.3649725756864,Percentage MOE exceeds 50% of estimate,40.66177983780356,83.5048868288631,20.977256050100575,Retained,2024,2020-2024,ACS five-year,13,57.07491082045184,FALSE,929,70.41984732824427,8,3144,Retained,234,84.74853037230568,9,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,283,78.87060583395662,8,1337,Retained
13263,"Talbot County, Georgia",281,160,0,0,58,0,102,121,118,77,20,20,20,20,76,82,160,0,Pass,281,0,Pass,56.93950177935944,0.48125,FALSE,TRUE,FALSE,29.257922535753902,83,237,13.38518518161647,0,12.5,0,12.5,36.25,21.46133565793742,0,12.5,63.74999999999999,36.263022142429655,43.55431659774297,70.32468696097591,14.29168595310364,Retained,0,12.5,NA,Unavailable MOE or zero percentage,0,12.5,NA,Unavailable MOE or zero percentage,14.788664342062582,57.71133565793742,35.99328451088199,Percentage MOE exceeds 50% of estimate,0,12.5,NA,Unavailable MOE or zero percentage,27.486977857570338,100,34.58251303099275,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,56.93950177935944,FALSE,1872,40.42620865139949,5,3144,Retained,237,84.55258001306336,9,1531,Retained,NA,NA,NA,132,Unavailable MOE or zero percentage,NA,NA,NA,119,Unavailable MOE or zero percentage,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Unavailable MOE or zero percentage,NA,NA,NA,1337,Percentage MOE exceeds 50% of estimate
13177,"Lee County, Georgia",1093,616,169,49,270,11,117,477,501,308,153,81,212,23,74,334,616,0,Pass,1093,0,Pass,56.358645928636776,0.5,FALSE,TRUE,FALSE,30.39784159558847,308,924,11.257011309603635,27.435064935064936,20.706008147441715,7.954545454545454,12.533424278802299,43.83116883116883,26.535629074691453,1.7857142857142856,3.6254401678778074,18.993506493506494,7.356869901287933,45.10163461903314,67.61565723824042,12.143260044337131,Retained,6.729056787623222,48.14107308250665,45.88419653699702,Percentage MOE exceeds 50% of estimate,0,20.487969733347754,95.79153153487279,Percentage MOE exceeds 50% of estimate,17.29553975647738,70.36679790586028,36.80603875104339,Percentage MOE exceeds 50% of estimate,0,5.4111544535920935,123.43022264992524,Percentage MOE exceeds 50% of estimate,11.636636592218562,26.350376394794427,23.548360169846347,Retained,2024,2020-2024,ACS five-year,13,56.358645928636776,FALSE,740,76.44720101781171,8,3144,Retained,255,83.3768778576094,9,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,1330,0.5609573672400897,1,1337,Retained
13267,"Tattnall County, Georgia",637,352,72,27,48,46,159,285,205,176,87,39,59,42,111,123,352,0,Pass,637,0,Pass,55.25902668759811,0.5,FALSE,TRUE,FALSE,30.39784159558847,176,528,21.14560291880198,20.454545454545457,22.50064565189333,7.670454545454546,10.394583168452103,13.636363636363635,15.311946566149848,13.068181818181818,9.983683744775897,45.17045454545455,22.00696250058299,34.113423768796125,76.40462960640009,23.264278308876413,Retained,0,42.95519110643879,66.87717053841705,Percentage MOE exceeds 50% of estimate,0,18.065037713906648,82.38700607228559,Percentage MOE exceeds 50% of estimate,0,28.948310202513483,68.26601851489757,Percentage MOE exceeds 50% of estimate,3.0844980734059213,23.051865562957715,46.44600775173066,Percentage MOE exceeds 50% of estimate,23.163492044871557,67.17741704603753,29.61954520159215,Retained,2024,2020-2024,ACS five-year,13,55.25902668759811,FALSE,1173,62.70674300254453,7,3144,Retained,283,81.54800783801437,9,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,941,29.655946148092745,3,1337,Retained
13195,"Madison County, Georgia",892,482,48,20,248,4,162,410,275,231,75,31,177,6,96,146,482,0,Pass,892,0,Pass,54.035874439461885,0.47925311203319504,FALSE,TRUE,FALSE,29.136520367555754,251,713,19.827347990662872,9.95850622406639,14.810152731519977,4.149377593360995,6.116380262498265,51.45228215767634,27.21130001632823,0.8298755186721992,1.1795671073339522,33.60995850622407,11.714526015865378,34.20852644879901,73.86322243012475,22.3077201852637,Retained,0,24.768658955586368,90.41449924512591,Percentage MOE exceeds 50% of estimate,0,10.26575785585926,89.61573352846254,Percentage MOE exceeds 50% of estimate,24.240982141348113,78.66358217400457,32.152695772425396,Percentage MOE exceeds 50% of estimate,0,2.0094426260061513,86.41366873305059,Percentage MOE exceeds 50% of estimate,21.89543249035869,45.32448452208945,21.189928344108612,Retained,2024,2020-2024,ACS five-year,13,54.035874439461885,FALSE,925,70.59478371501272,8,3144,Retained,323,78.93533638145003,8,1531,Retained,NA,NA,NA,132,Percentage MOE exceeds 50% of estimate,NA,NA,NA,119,Percentage MOE exceeds 50% of estimate,NA,NA,NA,420,Percentage MOE exceeds 50% of estimate,NA,NA,NA,354,Percentage MOE exceeds 50% of estimate,1245,6.918474195961107,1,1337,Retained
