geoid,name,pct_responsible_exclusion
28125,"Sharkey County, Mississippi",Retained
22025,"Catahoula Parish, Louisiana",Retained
30065,"Musselshell County, Montana",Retained
30085,"Roosevelt County, Montana",Retained
05073,"Lafayette County, Arkansas",Retained
02290,"Yukon-Koyukuk Census Area, Alaska",Retained
46031,"Corson County, South Dakota",Retained
46121,"Todd County, South Dakota",Retained
05089,"Marion County, Arkansas",Retained
01057,"Fayette County, Alabama",Retained
21077,"Gallatin County, Kentucky",Retained
12059,"Holmes County, Florida",Retained
38005,"Benson County, North Dakota",Retained
37099,"Jackson County, North Carolina",Retained
05013,"Calhoun County, Arkansas",Retained
05141,"Van Buren County, Arkansas",Retained
30087,"Rosebud County, Montana",Retained
21045,"Casey County, Kentucky",Retained
01047,"Dallas County, Alabama",Retained
01075,"Lamar County, Alabama",Retained
48445,"Terry County, Texas",Retained
21113,"Jessamine County, Kentucky",Retained
46137,"Ziebach County, South Dakota",Retained
30041,"Hill County, Montana",Retained
28023,"Clarke County, Mississippi",Retained
22013,"Bienville Parish, Louisiana",Retained
22047,"Iberville Parish, Louisiana",Retained
21203,"Rockcastle County, Kentucky",Retained
46041,"Dewey County, South Dakota",Retained
47151,"Scott County, Tennessee",Retained
35055,"Taos County, New Mexico",Retained
22039,"Evangeline Parish, Louisiana",Retained
27087,"Mahnomen County, Minnesota",Retained
13251,"Screven County, Georgia",Retained
05043,"Drew County, Arkansas",Retained
18129,"Posey County, Indiana",Retained
21133,"Letcher County, Kentucky",Retained
39105,"Meigs County, Ohio",Retained
47185,"White County, Tennessee",Retained
28119,"Quitman County, Mississippi",Retained
21065,"Estill County, Kentucky",Retained
38085,"Sioux County, North Dakota",Retained
13303,"Washington County, Georgia",Retained
51197,"Wythe County, Virginia",Retained
39065,"Hardin County, Ohio",Retained
05103,"Ouachita County, Arkansas",Retained
22083,"Richland Parish, Louisiana",Retained
40063,"Hughes County, Oklahoma",Retained
22059,"LaSalle Parish, Louisiana",Retained
28065,"Jefferson Davis County, Mississippi",Retained
21021,"Boyle County, Kentucky",Retained
54041,"Lewis County, West Virginia",Retained
55003,"Ashland County, Wisconsin",Retained
36033,"Franklin County, New York",Retained
28039,"George County, Mississippi",Retained
17049,"Effingham County, Illinois",Retained
40107,"Okfuskee County, Oklahoma",Retained
28003,"Alcorn County, Mississippi",Retained
29069,"Dunklin County, Missouri",Retained
37153,"Richmond County, North Carolina",Retained
28007,"Attala County, Mississippi",Retained
39171,"Williams County, Ohio",Retained
40023,"Choctaw County, Oklahoma",Retained
22101,"St. Mary Parish, Louisiana",Retained
30035,"Glacier County, Montana",Retained
21031,"Butler County, Kentucky",Retained
22085,"Sabine Parish, Louisiana",Retained
47041,"DeKalb County, Tennessee",Retained
27093,"Meeker County, Minnesota",Retained
35009,"Curry County, New Mexico",Retained
18017,"Cass County, Indiana",Retained
30003,"Big Horn County, Montana",Retained
29207,"Stoddard County, Missouri",Retained
39027,"Clinton County, Ohio",Retained
46109,"Roberts County, South Dakota",Retained
02130,"Ketchikan Gateway Borough, Alaska",Retained
40011,"Blaine County, Oklahoma",Retained
01077,"Lauderdale County, Alabama",Retained
39033,"Crawford County, Ohio",Retained
30005,"Blaine County, Montana",Retained
48059,"Callahan County, Texas",Retained
31001,"Adams County, Nebraska",Retained
54019,"Fayette County, West Virginia",Retained
