geoid,name,state_fips,acs_period,metric,value,national_rank,national_percentile,national_decile,eligible_n,exclusion_reason
01001,"Autauga County, Alabama",01,2020-2024,caregiver_count,542,832,73.53689567430025,8,3144,Retained
01003,"Baldwin County, Alabama",01,2020-2024,caregiver_count,1520,306,90.28307888040712,10,3144,Retained
01005,"Barbour County, Alabama",01,2020-2024,caregiver_count,373,1129,64.07442748091603,7,3144,Retained
01007,"Bibb County, Alabama",01,2020-2024,caregiver_count,296,1330,57.60178117048346,6,3144,Retained
01009,"Blount County, Alabama",01,2020-2024,caregiver_count,603,758,75.8587786259542,8,3144,Retained
01011,"Bullock County, Alabama",01,2020-2024,caregiver_count,84,2305,26.669847328244273,3,3144,Retained
01013,"Butler County, Alabama",01,2020-2024,caregiver_count,358,1157,63.18384223918575,7,3144,Retained
01015,"Calhoun County, Alabama",01,2020-2024,caregiver_count,1084,426,86.46628498727735,9,3144,Retained
01017,"Chambers County, Alabama",01,2020-2024,caregiver_count,783,590,81.25,9,3144,Retained
01019,"Cherokee County, Alabama",01,2020-2024,caregiver_count,125,2050,34.74872773536896,4,3144,Retained
01021,"Chilton County, Alabama",01,2020-2024,caregiver_count,546,825,73.77544529262086,8,3144,Retained
01023,"Choctaw County, Alabama",01,2020-2024,caregiver_count,159,1876,40.267175572519086,5,3144,Retained
01025,"Clarke County, Alabama",01,2020-2024,caregiver_count,436,1019,67.54134860050891,7,3144,Retained
01027,"Clay County, Alabama",01,2020-2024,caregiver_count,160,1872,40.42620865139949,5,3144,Retained
01029,"Cleburne County, Alabama",01,2020-2024,caregiver_count,182,1752,44.14758269720102,5,3144,Retained
01031,"Coffee County, Alabama",01,2020-2024,caregiver_count,456,977,68.90903307888041,7,3144,Retained
01033,"Colbert County, Alabama",01,2020-2024,caregiver_count,453,987,68.57506361323155,7,3144,Retained
01035,"Conecuh County, Alabama",01,2020-2024,caregiver_count,119,2089,33.46055979643766,4,3144,Retained
01037,"Coosa County, Alabama",01,2020-2024,caregiver_count,20,2813,10.400763358778626,2,3144,Retained
01039,"Covington County, Alabama",01,2020-2024,caregiver_count,635,723,77.019720101781175,8,3144,Retained
01041,"Crenshaw County, Alabama",01,2020-2024,caregiver_count,220,1590,49.30025445292621,5,3144,Retained
01043,"Cullman County, Alabama",01,2020-2024,caregiver_count,1425,330,89.519720101781175,9,3144,Retained
01045,"Dale County, Alabama",01,2020-2024,caregiver_count,620,737,76.57442748091603,8,3144,Retained
01047,"Dallas County, Alabama",01,2020-2024,caregiver_count,647,709,77.4650127226463,8,3144,Retained
01049,"DeKalb County, Alabama",01,2020-2024,caregiver_count,764,604,80.78880407124682,9,3144,Retained
01051,"Elmore County, Alabama",01,2020-2024,caregiver_count,758,611,80.56615776081425,9,3144,Retained
01053,"Escambia County, Alabama",01,2020-2024,caregiver_count,481,926,70.53117048346056,8,3144,Retained
01055,"Etowah County, Alabama",01,2020-2024,caregiver_count,1157,398,87.34096692111959,9,3144,Retained
01057,"Fayette County, Alabama",01,2020-2024,caregiver_count,401,1062,66.22137404580153,7,3144,Retained
01059,"Franklin County, Alabama",01,2020-2024,caregiver_count,195,1699,45.849236641221374,5,3144,Retained
01061,"Geneva County, Alabama",01,2020-2024,caregiver_count,334,1215,61.30725190839695,7,3144,Retained
01063,"Greene County, Alabama",01,2020-2024,caregiver_count,172,1803,42.55725190839695,5,3144,Retained
01065,"Hale County, Alabama",01,2020-2024,caregiver_count,290,1352,56.965648854961835,6,3144,Retained
01067,"Henry County, Alabama",01,2020-2024,caregiver_count,244,1497,52.353689567430024,6,3144,Retained
01069,"Houston County, Alabama",01,2020-2024,caregiver_count,1282,364,88.422391857506355,9,3144,Retained
01071,"Jackson County, Alabama",01,2020-2024,caregiver_count,562,803,74.44338422391857,8,3144,Retained
01073,"Jefferson County, Alabama",01,2020-2024,caregiver_count,7326,31,99.02989821882952,10,3144,Retained
01075,"Lamar County, Alabama",01,2020-2024,caregiver_count,282,1374,56.26590330788804,6,3144,Retained
01077,"Lauderdale County, Alabama",01,2020-2024,caregiver_count,1680,265,91.57124681933843,10,3144,Retained
01079,"Lawrence County, Alabama",01,2020-2024,caregiver_count,450,994,68.36832061068702,7,3144,Retained
01081,"Lee County, Alabama",01,2020-2024,caregiver_count,1071,434,86.2118320610687,9,3144,Retained
01083,"Limestone County, Alabama",01,2020-2024,caregiver_count,998,464,85.25763358778626,9,3144,Retained
01085,"Lowndes County, Alabama",01,2020-2024,caregiver_count,151,1913,39.10623409669211,4,3144,Retained
01087,"Macon County, Alabama",01,2020-2024,caregiver_count,209,1634,47.99618320610687,5,3144,Retained
01089,"Madison County, Alabama",01,2020-2024,caregiver_count,2201,199,93.68638676844783,10,3144,Retained
01091,"Marengo County, Alabama",01,2020-2024,caregiver_count,299,1319,58.031170483460556,6,3144,Retained
01093,"Marion County, Alabama",01,2020-2024,caregiver_count,148,1928,38.58142493638677,4,3144,Retained
01095,"Marshall County, Alabama",01,2020-2024,caregiver_count,825,556,82.31552162849873,9,3144,Retained
01097,"Mobile County, Alabama",01,2020-2024,caregiver_count,5358,51,98.3937659033079,10,3144,Retained
01099,"Monroe County, Alabama",01,2020-2024,caregiver_count,301,1310,58.26972010178117,6,3144,Retained
01101,"Montgomery County, Alabama",01,2020-2024,caregiver_count,2318,184,94.16348600508906,10,3144,Retained
01103,"Morgan County, Alabama",01,2020-2024,caregiver_count,897,519,83.50826972010178,9,3144,Retained
01105,"Perry County, Alabama",01,2020-2024,caregiver_count,172,1803,42.55725190839695,5,3144,Retained
01107,"Pickens County, Alabama",01,2020-2024,caregiver_count,219,1600,49.07760814249364,5,3144,Retained
01109,"Pike County, Alabama",01,2020-2024,caregiver_count,272,1411,54.99363867684478,6,3144,Retained
01111,"Randolph County, Alabama",01,2020-2024,caregiver_count,252,1472,53.1647582697201,6,3144,Retained
01113,"Russell County, Alabama",01,2020-2024,caregiver_count,696,666,78.83269720101781,8,3144,Retained
01115,"St. Clair County, Alabama",01,2020-2024,caregiver_count,991,468,85.1145038167939,9,3144,Retained
01117,"Shelby County, Alabama",01,2020-2024,caregiver_count,2023,218,93.08206106870229,10,3144,Retained
01119,"Sumter County, Alabama",01,2020-2024,caregiver_count,195,1699,45.849236641221374,5,3144,Retained
01121,"Talladega County, Alabama",01,2020-2024,caregiver_count,739,628,80.04134860050891,9,3144,Retained
01123,"Tallapoosa County, Alabama",01,2020-2024,caregiver_count,448,998,68.22519083969466,7,3144,Retained
01125,"Tuscaloosa County, Alabama",01,2020-2024,caregiver_count,2268,191,93.94083969465649,10,3144,Retained
01127,"Walker County, Alabama",01,2020-2024,caregiver_count,890,525,83.31743002544529,9,3144,Retained
01129,"Washington County, Alabama",01,2020-2024,caregiver_count,166,1834,41.63486005089059,5,3144,Retained
01131,"Wilcox County, Alabama",01,2020-2024,caregiver_count,142,1962,37.595419847328245,4,3144,Retained
01133,"Winston County, Alabama",01,2020-2024,caregiver_count,504,884,71.8352417302799,8,3144,Retained
02013,"Aleutians East Borough, Alaska",02,2020-2024,caregiver_count,34,2669,14.996819338422393,2,3144,Retained
02016,"Aleutians West Census Area, Alaska",02,2020-2024,caregiver_count,23,2775,11.561704834605598,2,3144,Retained
02020,"Anchorage Municipality, Alaska",02,2020-2024,caregiver_count,1312,356,88.66094147582697,9,3144,Retained
02050,"Bethel Census Area, Alaska",02,2020-2024,caregiver_count,747,620,80.26399491094148,9,3144,Retained
02060,"Bristol Bay Borough, Alaska",02,2020-2024,caregiver_count,8,2940,6.1704834605597965,1,3144,Retained
02063,"Chugach Census Area, Alaska",02,2020-2024,caregiver_count,8,2940,6.1704834605597965,1,3144,Retained
02066,"Copper River Census Area, Alaska",02,2020-2024,caregiver_count,28,2727,13.120229007633588,2,3144,Retained
02068,"Denali Borough, Alaska",02,2020-2024,caregiver_count,3,3015,3.991730279898219,1,3144,Retained
02070,"Dillingham Census Area, Alaska",02,2020-2024,caregiver_count,116,2108,32.87213740458015,4,3144,Retained
02090,"Fairbanks North Star Borough, Alaska",02,2020-2024,caregiver_count,415,1043,66.79389312977099,7,3144,Retained
02100,"Haines Borough, Alaska",02,2020-2024,caregiver_count,0,3044,1.606234096692112,1,3144,Retained
02105,"Hoonah-Angoon Census Area, Alaska",02,2020-2024,caregiver_count,21,2798,10.798346055979644,2,3144,Retained
02110,"Juneau City and Borough, Alaska",02,2020-2024,caregiver_count,334,1215,61.30725190839695,7,3144,Retained
02122,"Kenai Peninsula Borough, Alaska",02,2020-2024,caregiver_count,421,1036,67.06424936386769,7,3144,Retained
02130,"Ketchikan Gateway Borough, Alaska",02,2020-2024,caregiver_count,152,1908,39.26526717557252,4,3144,Retained
02150,"Kodiak Island Borough, Alaska",02,2020-2024,caregiver_count,96,2233,28.880407124681934,3,3144,Retained
02158,"Kusilvak Census Area, Alaska",02,2020-2024,caregiver_count,409,1052,66.55534351145039,7,3144,Retained
02164,"Lake and Peninsula Borough, Alaska",02,2020-2024,caregiver_count,13,2879,8.23791348600509,1,3144,Retained
02170,"Matanuska-Susitna Borough, Alaska",02,2020-2024,caregiver_count,826,554,82.3791348600509,9,3144,Retained
