geoid,name,variable,estimate,moe
72001,"Adjuntas Municipio, Puerto Rico",coresident_grandparents_total,309,161
72001,"Adjuntas Municipio, Puerto Rico",responsible_total,20,23
72001,"Adjuntas Municipio, Puerto Rico",less_than_six_months,0,24
72001,"Adjuntas Municipio, Puerto Rico",six_to_eleven_months,0,24
72001,"Adjuntas Municipio, Puerto Rico",one_or_two_years,0,24
72001,"Adjuntas Municipio, Puerto Rico",three_or_four_years,0,24
72001,"Adjuntas Municipio, Puerto Rico",five_plus_years,20,23
72001,"Adjuntas Municipio, Puerto Rico",not_responsible,289,162
72003,"Aguada Municipio, Puerto Rico",coresident_grandparents_total,735,300
72003,"Aguada Municipio, Puerto Rico",responsible_total,183,147
72003,"Aguada Municipio, Puerto Rico",less_than_six_months,0,33
72003,"Aguada Municipio, Puerto Rico",six_to_eleven_months,41,67
72003,"Aguada Municipio, Puerto Rico",one_or_two_years,94,91
72003,"Aguada Municipio, Puerto Rico",three_or_four_years,24,37
72003,"Aguada Municipio, Puerto Rico",five_plus_years,24,38
72003,"Aguada Municipio, Puerto Rico",not_responsible,552,255
72005,"Aguadilla Municipio, Puerto Rico",coresident_grandparents_total,1011,300
72005,"Aguadilla Municipio, Puerto Rico",responsible_total,275,128
72005,"Aguadilla Municipio, Puerto Rico",less_than_six_months,32,51
72005,"Aguadilla Municipio, Puerto Rico",six_to_eleven_months,49,81
72005,"Aguadilla Municipio, Puerto Rico",one_or_two_years,48,56
72005,"Aguadilla Municipio, Puerto Rico",three_or_four_years,96,77
72005,"Aguadilla Municipio, Puerto Rico",five_plus_years,50,48
72005,"Aguadilla Municipio, Puerto Rico",not_responsible,736,284
72007,"Aguas Buenas Municipio, Puerto Rico",coresident_grandparents_total,478,227
72007,"Aguas Buenas Municipio, Puerto Rico",responsible_total,143,119
72007,"Aguas Buenas Municipio, Puerto Rico",less_than_six_months,108,122
72007,"Aguas Buenas Municipio, Puerto Rico",six_to_eleven_months,0,29
72007,"Aguas Buenas Municipio, Puerto Rico",one_or_two_years,19,29
72007,"Aguas Buenas Municipio, Puerto Rico",three_or_four_years,0,29
72007,"Aguas Buenas Municipio, Puerto Rico",five_plus_years,16,25
72007,"Aguas Buenas Municipio, Puerto Rico",not_responsible,335,159
72009,"Aibonito Municipio, Puerto Rico",coresident_grandparents_total,650,270
72009,"Aibonito Municipio, Puerto Rico",responsible_total,263,205
72009,"Aibonito Municipio, Puerto Rico",less_than_six_months,0,29
72009,"Aibonito Municipio, Puerto Rico",six_to_eleven_months,0,29
72009,"Aibonito Municipio, Puerto Rico",one_or_two_years,29,45
72009,"Aibonito Municipio, Puerto Rico",three_or_four_years,136,178
72009,"Aibonito Municipio, Puerto Rico",five_plus_years,98,75
72009,"Aibonito Municipio, Puerto Rico",not_responsible,387,193
72011,"Añasco Municipio, Puerto Rico",coresident_grandparents_total,237,137
72011,"Añasco Municipio, Puerto Rico",responsible_total,137,102
72011,"Añasco Municipio, Puerto Rico",less_than_six_months,70,87
72011,"Añasco Municipio, Puerto Rico",six_to_eleven_months,0,29
72011,"Añasco Municipio, Puerto Rico",one_or_two_years,0,29
72011,"Añasco Municipio, Puerto Rico",three_or_four_years,12,19
72011,"Añasco Municipio, Puerto Rico",five_plus_years,55,48
72011,"Añasco Municipio, Puerto Rico",not_responsible,100,81
72013,"Arecibo Municipio, Puerto Rico",coresident_grandparents_total,1136,266
72013,"Arecibo Municipio, Puerto Rico",responsible_total,269,142
72013,"Arecibo Municipio, Puerto Rico",less_than_six_months,73,85
72013,"Arecibo Municipio, Puerto Rico",six_to_eleven_months,0,36
72013,"Arecibo Municipio, Puerto Rico",one_or_two_years,54,60
72013,"Arecibo Municipio, Puerto Rico",three_or_four_years,69,72
72013,"Arecibo Municipio, Puerto Rico",five_plus_years,73,48
72013,"Arecibo Municipio, Puerto Rico",not_responsible,867,249
72015,"Arroyo Municipio, Puerto Rico",coresident_grandparents_total,289,146
72015,"Arroyo Municipio, Puerto Rico",responsible_total,53,60
72015,"Arroyo Municipio, Puerto Rico",less_than_six_months,32,51
72015,"Arroyo Municipio, Puerto Rico",six_to_eleven_months,0,24
72015,"Arroyo Municipio, Puerto Rico",one_or_two_years,0,24
72015,"Arroyo Municipio, Puerto Rico",three_or_four_years,0,24
72015,"Arroyo Municipio, Puerto Rico",five_plus_years,21,35
72015,"Arroyo Municipio, Puerto Rico",not_responsible,236,117
72017,"Barceloneta Municipio, Puerto Rico",coresident_grandparents_total,427,237
72017,"Barceloneta Municipio, Puerto Rico",responsible_total,168,106
72017,"Barceloneta Municipio, Puerto Rico",less_than_six_months,33,51
72017,"Barceloneta Municipio, Puerto Rico",six_to_eleven_months,0,29
72017,"Barceloneta Municipio, Puerto Rico",one_or_two_years,26,45
72017,"Barceloneta Municipio, Puerto Rico",three_or_four_years,17,27
72017,"Barceloneta Municipio, Puerto Rico",five_plus_years,92,80
72017,"Barceloneta Municipio, Puerto Rico",not_responsible,259,155
72019,"Barranquitas Municipio, Puerto Rico",coresident_grandparents_total,682,293
72019,"Barranquitas Municipio, Puerto Rico",responsible_total,219,123
72019,"Barranquitas Municipio, Puerto Rico",less_than_six_months,0,29
72019,"Barranquitas Municipio, Puerto Rico",six_to_eleven_months,22,35
72019,"Barranquitas Municipio, Puerto Rico",one_or_two_years,0,29
72019,"Barranquitas Municipio, Puerto Rico",three_or_four_years,31,48
72019,"Barranquitas Municipio, Puerto Rico",five_plus_years,166,111
72019,"Barranquitas Municipio, Puerto Rico",not_responsible,463,216
72021,"Bayamón Municipio, Puerto Rico",coresident_grandparents_total,3181,458
72021,"Bayamón Municipio, Puerto Rico",responsible_total,1219,285
72021,"Bayamón Municipio, Puerto Rico",less_than_six_months,77,63
72021,"Bayamón Municipio, Puerto Rico",six_to_eleven_months,73,76
72021,"Bayamón Municipio, Puerto Rico",one_or_two_years,236,125
72021,"Bayamón Municipio, Puerto Rico",three_or_four_years,198,146
72021,"Bayamón Municipio, Puerto Rico",five_plus_years,635,216
72021,"Bayamón Municipio, Puerto Rico",not_responsible,1962,321
72023,"Cabo Rojo Municipio, Puerto Rico",coresident_grandparents_total,1051,378
72023,"Cabo Rojo Municipio, Puerto Rico",responsible_total,255,160
72023,"Cabo Rojo Municipio, Puerto Rico",less_than_six_months,0,33
72023,"Cabo Rojo Municipio, Puerto Rico",six_to_eleven_months,0,33
72023,"Cabo Rojo Municipio, Puerto Rico",one_or_two_years,48,59
72023,"Cabo Rojo Municipio, Puerto Rico",three_or_four_years,0,33
72023,"Cabo Rojo Municipio, Puerto Rico",five_plus_years,207,154
