geoid,name,variable,estimate,moe
7200186,"Aceitunas comunidad, Puerto Rico",population,1369,632
7200358,"Adjuntas zona urbana, Puerto Rico",population,4664,630
7200616,"Aguada zona urbana, Puerto Rico",population,3737,779
7200745,"Aguadilla zona urbana, Puerto Rico",population,11033,856
7200874,"Aguas Buenas zona urbana, Puerto Rico",population,3488,787
7201003,"Aguas Claras comunidad, Puerto Rico",population,2120,411
7201089,"Aguilita comunidad, Puerto Rico",population,3637,689
7201218,"Aibonito zona urbana, Puerto Rico",population,9285,983
7201863,"Alianza comunidad, Puerto Rico",population,1910,512
7202680,"Añasco zona urbana, Puerto Rico",population,4616,844
7203024,"Animas comunidad, Puerto Rico",population,1314,601
7203174,"Anon Raices comunidad, Puerto Rico",population,364,272
7203196,"Antón Ruíz comunidad, Puerto Rico",population,1168,720
7203368,"Arecibo zona urbana, Puerto Rico",population,40831,1938
7203927,"Arroyo zona urbana, Puerto Rico",population,7516,940
7204620,"Bairoa La Veinticinco comunidad, Puerto Rico",population,427,278
7204658,"Bajadero comunidad, Puerto Rico",population,3814,695
7204701,"Bajandas comunidad, Puerto Rico",population,1017,371
7205217,"Barahona comunidad, Puerto Rico",population,2398,650
7205346,"Barceloneta zona urbana, Puerto Rico",population,3396,654
7205690,"Barranquitas zona urbana, Puerto Rico",population,2981,881
7206421,"Bartolo comunidad, Puerto Rico",population,1391,506
7206593,"Bayamón zona urbana, Puerto Rico",population,166923,1186
7206679,"Bayamón comunidad, Puerto Rico",population,1607,475
7207496,"Benítez comunidad, Puerto Rico",population,709,274
7207668,"Betances comunidad, Puerto Rico",population,575,231
7207969,"Boquerón comunidad (Cabo Rojo Municipio), Puerto Rico",population,1853,631
7208099,"Boquerón comunidad (Las Piedras Municipio), Puerto Rico",population,1676,766
7208700,"Breñas comunidad, Puerto Rico",population,4174,1032
7208722,"Brisas del Campanero comunidad, Puerto Rico",population,2259,491
7209087,"Buena Vista comunidad (Arroyo Municipio), Puerto Rico",population,1084,430
7209250,"Buena Vista comunidad (Humacao Municipio), Puerto Rico",population,868,480
7209603,"Búfalo comunidad, Puerto Rico",population,797,349
7209689,"Cabán comunidad, Puerto Rico",population,3202,660
7209861,"Cabo Rojo zona urbana, Puerto Rico",population,9122,1285
7210048,"Cacao comunidad, Puerto Rico",population,1254,500
7210334,"Caguas zona urbana, Puerto Rico",population,72922,2452
7211151,"Calzada comunidad, Puerto Rico",population,46,35
7211345,"Cambalache comunidad, Puerto Rico",population,575,276
7211581,"Campanilla comunidad, Puerto Rico",population,3855,713
7211597,"Campanillas comunidad, Puerto Rico",population,645,331
7211710,"Campo Rico comunidad, Puerto Rico",population,2024,520
7211925,"Camuy zona urbana, Puerto Rico",population,3242,657
7212441,"Candelaria comunidad, Puerto Rico",population,14868,1323
7212560,"Candelaria Arenas comunidad, Puerto Rico",population,3560,769
7212568,"Candelero Abajo comunidad, Puerto Rico",population,434,253
7212613,"Candelero Arriba comunidad, Puerto Rico",population,758,414
7212806,"Caño Martin Peña comunidad, Puerto Rico",population,11618,1124
7212828,"Canóvanas zona urbana, Puerto Rico",population,12689,1199
7213065,"Canovanillas comunidad, Puerto Rico",population,610,407
7213925,"Capitanejo comunidad, Puerto Rico",population,3215,934
7214290,"Carolina zona urbana, Puerto Rico",population,138633,1243
7214634,"Carrizales comunidad, Puerto Rico",population,2887,844
7215193,"Cataño zona urbana, Puerto Rico",population,22467,NA
7215494,"Cayey zona urbana, Puerto Rico",population,14655,1054
7215623,"Cayuco comunidad, Puerto Rico",population,1210,475
7215924,"Ceiba zona urbana, Puerto Rico",population,4942,477
7216139,"Ceiba comunidad, Puerto Rico",population,2640,729
7216440,"Celada comunidad, Puerto Rico",population,4139,896
7216526,"Central Aguirre comunidad, Puerto Rico",population,696,255
7217050,"Cerrillos Hoyos comunidad, Puerto Rico",population,495,283
7217773,"Ciales zona urbana, Puerto Rico",population,2510,643
7218074,"Cidra zona urbana, Puerto Rico",population,5819,942
7218719,"Coamo zona urbana, Puerto Rico",population,9689,962
7218891,"Coco comunidad, Puerto Rico",population,5538,869
7219665,"Comerío zona urbana, Puerto Rico",population,3837,785
7219837,"Comunas comunidad, Puerto Rico",population,3423,703
7220310,"Coquí comunidad, Puerto Rico",population,2525,614
7220353,"Corazón comunidad, Puerto Rico",population,2030,843
7220482,"Corcovado comunidad, Puerto Rico",population,995,531
7220783,"Corozal zona urbana, Puerto Rico",population,10237,1254
7220998,"Corral Viejo comunidad, Puerto Rico",population,8,9
7221213,"Coto Laurel comunidad, Puerto Rico",population,2698,831
7221385,"Coto Norte comunidad, Puerto Rico",population,1528,428
7222589,"Culebra zona urbana, Puerto Rico",population,1262,237
7223062,"Daguao comunidad, Puerto Rico",population,959,490
7223341,"Del Carmen comunidad, Puerto Rico",population,1369,360
7224008,"Dorado zona urbana, Puerto Rico",population,12425,1190
7224395,"Duque comunidad, Puerto Rico",population,913,442
7224954,"El Combate comunidad, Puerto Rico",population,311,170
7225556,"El Mangó comunidad, Puerto Rico",population,1388,655
7225685,"El Negro comunidad, Puerto Rico",population,1126,336
7225771,"El Ojo comunidad, Puerto Rico",population,1600,736
7225835,"El Paraiso comunidad, Puerto Rico",population,1500,518
