geoid,name,metric,reason
1311560,"Brunswick city, Georgia",pct_responsible_exclusion,Retained
1311560,"Brunswick city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1311560,"Brunswick city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1311560,"Brunswick city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1311560,"Brunswick city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1311560,"Brunswick city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1311560,"Brunswick city, Georgia",story_scale_exclusion,Retained
1319112,"Commerce city, Georgia",pct_responsible_exclusion,Retained
1319112,"Commerce city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1319112,"Commerce city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1319112,"Commerce city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1319112,"Commerce city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
1319112,"Commerce city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Percentage MOE exceeds 50% of estimate
1319112,"Commerce city, Georgia",story_scale_exclusion,Retained
1344340,"LaGrange city, Georgia",pct_responsible_exclusion,Retained
1344340,"LaGrange city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1344340,"LaGrange city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1344340,"LaGrange city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1344340,"LaGrange city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
1344340,"LaGrange city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1344340,"LaGrange city, Georgia",story_scale_exclusion,Retained
1338964,"Hinesville city, Georgia",pct_responsible_exclusion,Retained
