geoid,name,estimate_population,estimate_coresident_grandparents_total,estimate_responsible_total,estimate_less_than_six_months,estimate_six_to_eleven_months,estimate_one_or_two_years,estimate_three_or_four_years,estimate_five_plus_years,estimate_not_responsible,moe_population,moe_coresident_grandparents_total,moe_responsible_total,moe_less_than_six_months,moe_six_to_eleven_months,moe_one_or_two_years,moe_three_or_four_years,moe_five_plus_years,moe_not_responsible,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status,pct_responsible,moe_ratio,moe_exceeds_estimate,high_moe_flag,severe_moe_flag,cv_responsible_percent,responsible_ci90_lower,responsible_ci90_upper,pct_responsible_moe,percent_responsible_grandparents_less_than_six_months,percent_responsible_grandparents_less_than_six_months_moe,percent_responsible_grandparents_six_to_eleven_months,percent_responsible_grandparents_six_to_eleven_months_moe,percent_responsible_grandparents_one_or_two_years,percent_responsible_grandparents_one_or_two_years_moe,percent_responsible_grandparents_three_or_four_years,percent_responsible_grandparents_three_or_four_years_moe,percent_responsible_grandparents_five_plus_years,percent_responsible_grandparents_five_plus_years_moe,pct_responsible_ci90_lower,pct_responsible_ci90_upper,pct_responsible_cv_percent,pct_responsible_exclusion,percent_responsible_grandparents_less_than_six_months_ci90_lower,percent_responsible_grandparents_less_than_six_months_ci90_upper,percent_responsible_grandparents_less_than_six_months_cv_percent,percent_responsible_grandparents_less_than_six_months_exclusion,percent_responsible_grandparents_six_to_eleven_months_ci90_lower,percent_responsible_grandparents_six_to_eleven_months_ci90_upper,percent_responsible_grandparents_six_to_eleven_months_cv_percent,percent_responsible_grandparents_six_to_eleven_months_exclusion,percent_responsible_grandparents_one_or_two_years_ci90_lower,percent_responsible_grandparents_one_or_two_years_ci90_upper,percent_responsible_grandparents_one_or_two_years_cv_percent,percent_responsible_grandparents_one_or_two_years_exclusion,percent_responsible_grandparents_three_or_four_years_ci90_lower,percent_responsible_grandparents_three_or_four_years_ci90_upper,percent_responsible_grandparents_three_or_four_years_cv_percent,percent_responsible_grandparents_three_or_four_years_exclusion,percent_responsible_grandparents_five_plus_years_ci90_lower,percent_responsible_grandparents_five_plus_years_ci90_upper,percent_responsible_grandparents_five_plus_years_cv_percent,percent_responsible_grandparents_five_plus_years_exclusion,acs_year,acs_period,acs_product,state_fips,caregivers_per_1000_population,caregivers_per_1000_population_moe,story_scale_exclusion,national_rank_caregiver_count,national_percentile_caregiver_count,national_decile_caregiver_count,eligible_n_caregiver_count,exclusion_reason_caregiver_count,national_rank_caregiving_percent,national_percentile_caregiving_percent,national_decile_caregiving_percent,eligible_n_caregiving_percent,exclusion_reason_caregiving_percent,national_rank_less_than_six_months,national_percentile_less_than_six_months,national_decile_less_than_six_months,eligible_n_less_than_six_months,exclusion_reason_less_than_six_months,national_rank_six_to_eleven_months,national_percentile_six_to_eleven_months,national_decile_six_to_eleven_months,eligible_n_six_to_eleven_months,exclusion_reason_six_to_eleven_months,national_rank_one_or_two_years,national_percentile_one_or_two_years,national_decile_one_or_two_years,eligible_n_one_or_two_years,exclusion_reason_one_or_two_years,national_rank_three_or_four_years,national_percentile_three_or_four_years,national_decile_three_or_four_years,eligible_n_three_or_four_years,exclusion_reason_three_or_four_years,national_rank_five_plus_years,national_percentile_five_plus_years,national_decile_five_plus_years,eligible_n_five_plus_years,exclusion_reason_five_plus_years,national_rank_story_scale_caregiving_percent,national_percentile_story_scale_caregiving_percent,national_decile_story_scale_caregiving_percent,eligible_n_story_scale_caregiving_percent,exclusion_reason_story_scale_caregiving_percent,rank_by_count
1304000,"Atlanta city, Georgia",505268,5789,2563,345,317,208,142,1551,3226,79,769,482,128,130,85,89,427,629,2563,0,Pass,5789,0,Pass,44.27362238728623,0.18806086617245416,FALSE,FALSE,FALSE,11.433288840478847,2081,3045,5.8937018186262025,13.460788138899726,4.305029937004763,12.368318376902069,4.507411672515343,8.115489660554038,2.9443805855505003,5.540382364416699,3.3124903875048,60.51502145922747,12.167379035777332,38.379920568660026,50.167324205912436,8.09311751033401,Retained,9.155758201894963,17.76581807590449,19.443678444230184,Retained,7.860906704386726,16.875730049417413,22.15589570900852,Retained,5.171109075003538,11.059870246104538,22.057280184022773,Retained,2.2278919769118986,8.852872751921499,36.34859526410376,Percentage MOE exceeds 50% of estimate,48.34764242345014,72.6824004950048,12.223809944849515,Retained,2024,2020-2024,ACS five-year,13,5.072555554675934,0.9539488616277603,Retained,46,99.85798114738748,10,32038,Retained,228,70.49286640726329,8,771,Retained,16,67.70833333333333,7,48,Retained,15,63.75,7,40,Retained,154,0.3246753246753247,1,154,Retained,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,159,73.27150084317032,8,593,Retained,209,72.16288384512684,8,749,Retained,1
1319000,"Columbus city, Georgia",203711,4411,2052,90,230,504,424,804,2359,NA,639,420,80,181,232,144,267,437,2052,0,Pass,4411,0,Pass,46.52006347766947,0.2046783625730994,FALSE,FALSE,FALSE,12.443560887082999,1632,2472,6.726507128337798,4.385964912280701,3.793872894927994,11.208576998050681,8.517097676035124,24.561403508771928,10.126894292485709,20.66276803118908,5.59996491943605,39.1812865497076,10.246504892608838,39.793556349331666,53.24657060600727,8.790671503574334,Retained,0.5920920173527073,8.179837807208695,52.58844956598093,Percentage MOE exceeds 50% of estimate,2.6914793220155566,19.725674674085806,46.1970125298326,Percentage MOE exceeds 50% of estimate,14.43450921628622,34.68829780125763,25.06662361117175,Retained,15.06280311175303,26.262732950625132,16.47667401627151,Retained,28.93478165709876,49.42779144231644,15.898999755344692,Retained,2024,2020-2024,ACS five-year,13,10.073093745551295,NA,Retained,65,99.79867657157126,10,32038,Retained,195,74.77302204928664,8,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,62,60.064935064935064,7,154,Retained,47,59.21052631578947,6,114,Retained,494,16.779089376053964,2,593,Retained,177,76.43524699599466,8,749,Retained,2
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",201528,5053,1973,202,57,281,197,1236,3080,20,780,505,139,43,172,134,344,631,1973,0,Pass,5053,0,Pass,39.0461112210568,0.25595539787126204,FALSE,FALSE,FALSE,15.560983280052891,1468,2478,7.972007354260809,10.238215914850482,6.539602480799239,2.889001520527116,2.0501430775193756,14.242270653826662,7.918917762285997,9.984794728839331,6.292504601717547,62.64571718195641,6.847400831473497,31.074103866795987,47.01811857531761,12.412596756780307,Retained,3.698613434051243,16.77781839564972,38.83289861490594,Percentage MOE exceeds 50% of estimate,0.8388584430077404,4.939144598046491,43.14288107910416,Percentage MOE exceeds 50% of estimate,6.323352891540664,22.161188416112658,33.80331881023265,Percentage MOE exceeds 50% of estimate,3.692290127121784,16.27729933055688,38.3139690533741,Percentage MOE exceeds 50% of estimate,55.79831635048291,69.4931180134299,6.645185502851379,Retained,2024,2020-2024,ACS five-year,13,9.790202850224286,2.5058550774104154,Retained,69,99.78619139771521,10,32038,Retained,315,59.20881971465629,6,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,129,78.33052276559864,8,593,Retained,295,60.68090787716956,7,749,Retained,3
1369000,"Savannah city, Georgia",147898,2848,1238,186,215,142,105,590,1610,64,445,274,136,145,92,70,188,360,1238,0,Pass,2848,0,Pass,43.46910112359551,0.22132471728594508,FALSE,FALSE,FALSE,13.455587394493119,964,1512,6.81378236120242,15.024232633279484,10.47010788957446,17.366720516962843,11.063784457789556,11.470113085621971,6.984285075317915,8.481421647819062,5.333592522395643,47.65751211631664,10.92484528117512,36.65531876239309,50.28288348479793,9.529724403259703,Retained,4.554124743705023,25.494340522853946,42.36737927114138,Percentage MOE exceeds 50% of estimate,6.3029360591732875,28.4305049747524,38.73099323123519,Percentage MOE exceeds 50% of estimate,4.485828010304056,18.45439816093989,37.0191975951969,Percentage MOE exceeds 50% of estimate,3.147829125423419,13.815014170214704,38.23172750122343,Percentage MOE exceeds 50% of estimate,36.732666835141515,58.58235739749176,13.936594738850173,Retained,2024,2020-2024,ACS five-year,13,8.37063381519696,1.8526246215852606,Retained,137,99.57394344216243,10,32038,Retained,245,68.28793774319067,7,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,369,37.85834738617201,4,593,Retained,226,69.89319092122831,7,749,Retained,4
1349008,"Macon-Bibb County, Georgia",156578,2563,1048,0,206,235,157,450,1515,NA,428,315,34,165,139,82,176,338,1048,0,Pass,2563,0,Pass,40.889582520483806,0.3005725190839695,FALSE,TRUE,FALSE,18.273511646202994,733,1363,10.21892562536361,0,3.2442748091603053,19.65648854961832,14.593675298610204,22.423664122137403,11.423219006262116,14.980916030534353,6.398905550697474,42.93893129770993,10.745381722464543,30.670656895120196,51.108508145847416,15.193761505453855,Retained,0,3.2442748091603053,NA,Unavailable MOE or zero percentage,5.062813251008116,34.250163848228524,45.13687466658119,Percentage MOE exceeds 50% of estimate,11.000445115875287,33.84688312839952,30.97095996200398,Percentage MOE exceeds 50% of estimate,8.582010479836878,21.379821581231827,25.968093929473227,Retained,32.193549575245385,53.68431302017447,15.21399818821431,Retained,2024,2020-2024,ACS five-year,13,6.693149740065654,NA,Retained,169,99.47250140458206,10,32038,Retained,281,63.61867704280156,7,771,Retained,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,86,25,3,114,Retained,444,25.21079258010118,3,593,Retained,261,65.22029372496662,7,749,Retained,5
1372122,"South Fulton city, Georgia",110471,3395,968,84,0,164,101,619,2427,62,624,360,111,34,128,89,271,523,968,0,Pass,3395,0,Pass,28.512518409425624,0.371900826446281,FALSE,TRUE,FALSE,22.609964823164976,608,1328,9.218317811242628,8.677685950413224,11.003440071755799,0,3.512396694214876,16.94214876033058,11.625462354267771,10.433884297520661,8.335245308308108,63.946280991735534,14.771613258198599,19.294200598182996,37.73083622066825,19.655714769223014,Retained,0,19.681126022169025,77.08986709569865,Percentage MOE exceeds 50% of estimate,0,3.512396694214876,NA,Unavailable MOE or zero percentage,5.316686406062807,28.56761111459835,41.7171361342259,Percentage MOE exceeds 50% of estimate,2.098638989212553,18.76912960582877,48.567428834251,Percentage MOE exceeds 50% of estimate,49.174667733536936,78.71789424993413,14.043824065141422,Retained,2024,2020-2024,ACS five-year,13,8.762480651030586,3.258770085128045,Retained,192,99.4022723016418,10,32038,Retained,498,35.47341115434501,4,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,113,81.02866779089376,9,593,Retained,477,36.38184245660881,4,749,Retained,6
1373784,"Stonecrest city, Georgia",60501,2136,853,50,103,259,47,394,1283,42,538,333,64,123,242,47,229,494,853,0,Pass,2136,0,Pass,39.934456928838955,0.3903868698710434,FALSE,TRUE,FALSE,23.733836462675168,520,1186,11.911054913126193,5.861664712778429,7.145458463928462,12.075029308323563,13.627415240257076,30.363423212192263,25.77552740069713,5.509964830011723,5.072754116111003,46.189917936694016,19.889186329425016,28.02340201571276,51.84551184196515,18.133230715056705,Retained,0,13.007123176706891,74.11086275229769,Percentage MOE exceeds 50% of estimate,0,25.702444548580637,68.61167774476472,Percentage MOE exceeds 50% of estimate,4.587895811495134,56.13895061288939,51.609490372253106,Percentage MOE exceeds 50% of estimate,0.4372107139007202,10.582718946122727,55.97160084761687,Percentage MOE exceeds 50% of estimate,26.300731607269,66.07910426611903,26.178368029821097,Retained,2024,2020-2024,ACS five-year,13,14.098940513379944,5.504032553195452,Retained,231,99.28054185654536,10,32038,Retained,299,61.284046692607006,7,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,389,34.48566610455312,4,593,Retained,279,62.81708945260347,7,749,Retained,7
1301052,"Albany city, Georgia",67224,1464,782,43,83,221,165,270,682,35,305,218,39,80,137,98,107,215,782,0,Pass,1464,0,Pass,53.41530054644809,0.27877237851662406,FALSE,FALSE,FALSE,16.94815720674754,564,1000,9.894275927373544,5.498721227621484,4.745790729131104,10.61381074168798,9.79294873791514,28.26086956521739,15.647789857523536,21.099744245524295,11.06580436342273,34.52685421994885,9.725100977684898,43.521024619074545,63.30957647382163,11.261366285183051,Retained,0.7529304984903797,10.24451195675259,52.47103421256408,Percentage MOE exceeds 50% of estimate,0.8208620037728398,20.406759479603117,56.093803014527815,Percentage MOE exceeds 50% of estimate,12.613079707693855,43.908659422740925,33.66202418594245,Percentage MOE exceeds 50% of estimate,10.033939882101565,32.16554860894703,31.884421370505333,Percentage MOE exceeds 50% of estimate,24.801753242263956,44.25195519763375,17.12418265142523,Retained,2024,2020-2024,ACS five-year,13,11.632750208258956,3.242883788493127,Retained,257,99.19938822648105,10,32038,Retained,116,85.01945525291829,9,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,535,9.865092748735245,1,593,Retained,100,86.71562082777037,9,749,Retained,8
1380508,"Warner Robins city, Georgia",82990,1896,670,40,22,148,65,395,1226,376,518,255,57,35,128,96,191,376,670,0,Pass,1896,0,Pass,35.33755274261603,0.3805970149253731,FALSE,TRUE,FALSE,23.138655542910627,415,925,9.363595265298216,5.970149253731343,8.198410404483528,3.2835820895522385,5.072191297700127,22.08955223880597,17.155167044544083,9.701492537313433,13.84443329431065,58.95522388059702,17.584180599161815,25.973957477317818,44.70114800791425,16.109382996207223,Retained,0,14.168559658214871,83.48668357172342,Percentage MOE exceeds 50% of estimate,0,8.355773387252366,93.91187027155203,Percentage MOE exceeds 50% of estimate,4.934385194261889,39.24471928335005,47.215085641237856,Percentage MOE exceeds 50% of estimate,0,23.545925831624082,86.75796814614398,Percentage MOE exceeds 50% of estimate,41.371043281435206,76.53940447975883,18.13312209700417,Retained,2024,2020-2024,ACS five-year,13,8.073261838775755,3.0724416391125677,Retained,312,99.02771708596042,10,32038,Retained,389,49.61089494163424,5,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,176,70.40472175379426,8,593,Retained,369,50.801068090787716,6,749,Retained,9
1355020,"Newnan city, Georgia",44235,1190,623,16,0,49,0,558,567,81,424,316,31,30,76,30,315,275,623,0,Pass,1190,0,Pass,52.352941176470594,0.507223113964687,FALSE,TRUE,TRUE,30.836975743839343,307,939,18.899614856995008,2.568218298555377,4.802383469659561,0,4.815409309791333,7.865168539325842,11.528279448511933,0,4.815409309791333,89.56661316211878,22.194305400560623,33.453326319475586,71.2525560334656,21.9474774761564,Caregiver count MOE exceeds 50% of estimate,0,7.370601768214938,113.68355413875743,Percentage MOE exceeds 50% of estimate,0,4.815409309791333,NA,Unavailable MOE or zero percentage,0,19.393447987837774,89.11056661872396,Percentage MOE exceeds 50% of estimate,0,4.815409309791333,NA,Unavailable MOE or zero percentage,67.37230776155816,100,15.064965751673528,Caregiver count MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,14.083870238498925,7.143617967686051,Caregiver count MOE exceeds 50% of estimate,345,98.92471440164805,10,32038,Retained,NA,NA,NA,771,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,749,Caregiver count MOE exceeds 50% of estimate,10
