geoid,name,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status
1300184,"Abbeville city, Georgia",9,0,Pass,46,0,Pass
1300408,"Acworth city, Georgia",329,0,Pass,716,0,Pass
1300436,"Adairsville city, Georgia",14,0,Pass,825,0,Pass
1300576,"Adel city, Georgia",93,0,Pass,139,0,Pass
1300660,"Adrian city, Georgia",11,0,Pass,55,0,Pass
1300828,"Ailey city, Georgia",0,0,Pass,0,0,Pass
1300996,"Alamo town, Georgia",3,0,Pass,6,0,Pass
1301024,"Alapaha town, Georgia",28,0,Pass,34,0,Pass
1301052,"Albany city, Georgia",782,0,Pass,1464,0,Pass
1301248,"Aldora town, Georgia",0,0,Pass,0,0,Pass
1301472,"Allenhurst city, Georgia",18,0,Pass,25,0,Pass
1301500,"Allentown city, Georgia",0,0,Pass,0,0,Pass
1301612,"Alma city, Georgia",18,0,Pass,64,0,Pass
1301696,"Alpharetta city, Georgia",237,0,Pass,1051,0,Pass
1301808,"Alston town, Georgia",9,0,Pass,9,0,Pass
1301948,"Alto town, Georgia",11,0,Pass,45,0,Pass
1302060,"Ambrose city, Georgia",0,0,Pass,26,0,Pass
1302116,"Americus city, Georgia",8,0,Pass,264,0,Pass
1302256,"Andersonville city, Georgia",1,0,Pass,1,0,Pass
1302364,"Antioch CDP, Georgia",0,0,Pass,0,0,Pass
1302536,"Appling CDP, Georgia",0,0,Pass,11,0,Pass
1302564,"Arabi town, Georgia",2,0,Pass,89,0,Pass
1302592,"Aragon city, Georgia",48,0,Pass,96,0,Pass
1302648,"Arcade city, Georgia",34,0,Pass,50,0,Pass
1302844,"Argyle town, Georgia",28,0,Pass,28,0,Pass
1302928,"Arlington city, Georgia",5,0,Pass,5,0,Pass
1303124,"Arnoldsville city, Georgia",0,0,Pass,0,0,Pass
1303236,"Ashburn city, Georgia",25,0,Pass,55,0,Pass
1303440,"Athens-Clarke County unified government (balance), Georgia",251,0,Pass,1538,0,Pass
1304000,"Atlanta city, Georgia",2563,0,Pass,5789,0,Pass
1304084,"Attapulgus city, Georgia",13,0,Pass,13,0,Pass
1304140,"Auburn city, Georgia",79,0,Pass,182,0,Pass
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",1973,0,Pass,5053,0,Pass
1304252,"Austell city, Georgia",25,0,Pass,399,0,Pass
1304392,"Avalon town, Georgia",16,0,Pass,16,0,Pass
1304448,"Avera city, Georgia",4,0,Pass,8,0,Pass
1304644,"Avondale Estates city, Georgia",17,0,Pass,48,0,Pass
1304700,"Axson CDP, Georgia",0,0,Pass,0,0,Pass
1304840,"Baconton city, Georgia",2,0,Pass,17,0,Pass
1304896,"Bainbridge city, Georgia",134,0,Pass,312,0,Pass
1304980,"Baldwin city, Georgia",0,0,Pass,124,0,Pass
1305036,"Ball Ground city, Georgia",15,0,Pass,41,0,Pass
1305344,"Barnesville city, Georgia",54,0,Pass,73,0,Pass
1305680,"Bartow town, Georgia",3,0,Pass,3,0,Pass
1305708,"Barwick city, Georgia",7,0,Pass,7,0,Pass
1306016,"Baxley city, Georgia",20,0,Pass,35,0,Pass
1306688,"Bellville city, Georgia",0,0,Pass,0,0,Pass
1306884,"Belvedere Park CDP, Georgia",59,0,Pass,236,0,Pass
1306968,"Bemiss CDP, Georgia",44,0,Pass,105,0,Pass
1307248,"Berkeley Lake city, Georgia",14,0,Pass,20,0,Pass
1307304,"Berlin city, Georgia",26,0,Pass,34,0,Pass
1307380,"Berry College CDP, Georgia",0,0,Pass,0,0,Pass
1307612,"Bethlehem town, Georgia",0,0,Pass,18,0,Pass
1307640,"Between town, Georgia",0,0,Pass,5,0,Pass
1308200,"Bishop town, Georgia",11,0,Pass,35,0,Pass
1308284,"Blackshear city, Georgia",33,0,Pass,62,0,Pass
1308480,"Blairsville city, Georgia",27,0,Pass,27,0,Pass
1308536,"Blakely city, Georgia",40,0,Pass,87,0,Pass
1308844,"Bloomingdale city, Georgia",15,0,Pass,23,0,Pass
1308928,"Blue Ridge city, Georgia",12,0,Pass,35,0,Pass
1308956,"Bluffton town, Georgia",9,0,Pass,38,0,Pass
1309040,"Blythe city, Georgia",25,0,Pass,46,0,Pass
1309068,"Bogart town, Georgia",0,0,Pass,54,0,Pass
1309152,"Bolingbroke CDP, Georgia",0,0,Pass,0,0,Pass
1309272,"Bonanza CDP, Georgia",0,0,Pass,25,0,Pass
1309460,"Boston city, Georgia",15,0,Pass,30,0,Pass
1309488,"Bostwick city, Georgia",0,0,Pass,0,0,Pass
1309544,"Bowdon city, Georgia",15,0,Pass,47,0,Pass
1309656,"Bowersville town, Georgia",2,0,Pass,10,0,Pass
1309712,"Bowman city, Georgia",4,0,Pass,20,0,Pass
1309768,"Box Springs CDP, Georgia",20,0,Pass,23,0,Pass
1309852,"Boykin CDP, Georgia",0,0,Pass,0,0,Pass
1310076,"Braselton town, Georgia",44,0,Pass,223,0,Pass
1310104,"Braswell town, Georgia",11,0,Pass,40,0,Pass
1310132,"Bremen city, Georgia",32,0,Pass,74,0,Pass
1310608,"Brinson town, Georgia",6,0,Pass,11,0,Pass
1310664,"Bristol CDP, Georgia",0,0,Pass,0,0,Pass
1310860,"Bronwood town, Georgia",16,0,Pass,16,0,Pass
1310944,"Brookhaven city, Georgia",84,0,Pass,604,0,Pass
1311000,"Brooklet city, Georgia",9,0,Pass,55,0,Pass
1311056,"Brooks town, Georgia",3,0,Pass,6,0,Pass
1311504,"Broxton city, Georgia",18,0,Pass,18,0,Pass
1311560,"Brunswick city, Georgia",460,0,Pass,624,0,Pass
1311616,"Buchanan city, Georgia",93,0,Pass,147,0,Pass
1311626,"Buckhead CDP, Georgia",0,0,Pass,113,0,Pass
1311672,"Buckhead town, Georgia",4,0,Pass,7,0,Pass
1311728,"Buena Vista city, Georgia",28,0,Pass,62,0,Pass
1311784,"Buford city, Georgia",244,0,Pass,518,0,Pass
1312120,"Butler city, Georgia",17,0,Pass,30,0,Pass
1312232,"Byromville town, Georgia",5,0,Pass,5,0,Pass
1312260,"Byron city, Georgia",207,0,Pass,207,0,Pass
1312344,"Cadwell town, Georgia",11,0,Pass,24,0,Pass
