geoid,name,story_scale_exclusion
1311560,"Brunswick city, Georgia",Retained
1319112,"Commerce city, Georgia",Retained
1344340,"LaGrange city, Georgia",Retained
1338964,"Hinesville city, Georgia",Retained
1301052,"Albany city, Georgia",Retained
1319000,"Columbus city, Georgia",Retained
1304000,"Atlanta city, Georgia",Retained
1369000,"Savannah city, Georgia",Retained
1373704,"Stockbridge city, Georgia",Retained
1349008,"Macon-Bibb County, Georgia",Retained
1373784,"Stonecrest city, Georgia",Retained
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",Retained
1380508,"Warner Robins city, Georgia",Retained
1372122,"South Fulton city, Georgia",Retained
1349756,"Marietta city, Georgia",Retained
1348288,"Mableton city, Georgia",Retained
1300184,"Abbeville city, Georgia",Denominator below story-scale threshold
1300408,"Acworth city, Georgia",Percentage MOE exceeds 50% of estimate
1300436,"Adairsville city, Georgia",Percentage MOE exceeds 50% of estimate
1300576,"Adel city, Georgia",Percentage MOE exceeds 50% of estimate
1300660,"Adrian city, Georgia",Denominator below story-scale threshold
1300828,"Ailey city, Georgia",Denominator below story-scale threshold
1300996,"Alamo town, Georgia",Denominator below story-scale threshold
1301024,"Alapaha town, Georgia",Denominator below story-scale threshold
1301248,"Aldora town, Georgia",Denominator below story-scale threshold
1301472,"Allenhurst city, Georgia",Denominator below story-scale threshold
1301500,"Allentown city, Georgia",Denominator below story-scale threshold
1301612,"Alma city, Georgia",Denominator below story-scale threshold
1301696,"Alpharetta city, Georgia",Percentage MOE exceeds 50% of estimate
1301808,"Alston town, Georgia",Denominator below story-scale threshold
1301948,"Alto town, Georgia",Denominator below story-scale threshold
1302060,"Ambrose city, Georgia",Denominator below story-scale threshold
1302116,"Americus city, Georgia",Percentage MOE exceeds 50% of estimate
1302256,"Andersonville city, Georgia",Denominator below story-scale threshold
1302364,"Antioch CDP, Georgia",Denominator below story-scale threshold
1302536,"Appling CDP, Georgia",Denominator below story-scale threshold
1302564,"Arabi town, Georgia",Denominator below story-scale threshold
1302592,"Aragon city, Georgia",Denominator below story-scale threshold
1302648,"Arcade city, Georgia",Denominator below story-scale threshold
1302844,"Argyle town, Georgia",Denominator below story-scale threshold
1302928,"Arlington city, Georgia",Denominator below story-scale threshold
1303124,"Arnoldsville city, Georgia",Denominator below story-scale threshold
1303236,"Ashburn city, Georgia",Denominator below story-scale threshold
1303440,"Athens-Clarke County unified government (balance), Georgia",Caregiver count MOE exceeds 50% of estimate
1304084,"Attapulgus city, Georgia",Denominator below story-scale threshold
1304140,"Auburn city, Georgia",Caregiver count MOE exceeds 50% of estimate
1304252,"Austell city, Georgia",Percentage MOE exceeds 50% of estimate
1304392,"Avalon town, Georgia",Denominator below story-scale threshold
1304448,"Avera city, Georgia",Denominator below story-scale threshold
1304644,"Avondale Estates city, Georgia",Denominator below story-scale threshold
1304700,"Axson CDP, Georgia",Denominator below story-scale threshold
1304840,"Baconton city, Georgia",Denominator below story-scale threshold
1304896,"Bainbridge city, Georgia",Percentage MOE exceeds 50% of estimate
1304980,"Baldwin city, Georgia",Unavailable MOE or zero percentage
1305036,"Ball Ground city, Georgia",Denominator below story-scale threshold
1305344,"Barnesville city, Georgia",Denominator below story-scale threshold
1305680,"Bartow town, Georgia",Denominator below story-scale threshold
1305708,"Barwick city, Georgia",Denominator below story-scale threshold
1306016,"Baxley city, Georgia",Denominator below story-scale threshold
1306688,"Bellville city, Georgia",Denominator below story-scale threshold
1306884,"Belvedere Park CDP, Georgia",Percentage MOE exceeds 50% of estimate
1306968,"Bemiss CDP, Georgia",Percentage MOE exceeds 50% of estimate
1307248,"Berkeley Lake city, Georgia",Denominator below story-scale threshold
1307304,"Berlin city, Georgia",Denominator below story-scale threshold
1307380,"Berry College CDP, Georgia",Denominator below story-scale threshold
1307612,"Bethlehem town, Georgia",Denominator below story-scale threshold
1307640,"Between town, Georgia",Denominator below story-scale threshold
1308200,"Bishop town, Georgia",Denominator below story-scale threshold
1308284,"Blackshear city, Georgia",Denominator below story-scale threshold
1308480,"Blairsville city, Georgia",Denominator below story-scale threshold
1308536,"Blakely city, Georgia",Denominator below story-scale threshold
1308844,"Bloomingdale city, Georgia",Denominator below story-scale threshold
1308928,"Blue Ridge city, Georgia",Denominator below story-scale threshold
1308956,"Bluffton town, Georgia",Denominator below story-scale threshold
1309040,"Blythe city, Georgia",Denominator below story-scale threshold
1309068,"Bogart town, Georgia",Denominator below story-scale threshold
1309152,"Bolingbroke CDP, Georgia",Denominator below story-scale threshold
1309272,"Bonanza CDP, Georgia",Denominator below story-scale threshold
1309460,"Boston city, Georgia",Denominator below story-scale threshold
1309488,"Bostwick city, Georgia",Denominator below story-scale threshold
1309544,"Bowdon city, Georgia",Denominator below story-scale threshold
1309656,"Bowersville town, Georgia",Denominator below story-scale threshold
1309712,"Bowman city, Georgia",Denominator below story-scale threshold
1309768,"Box Springs CDP, Georgia",Denominator below story-scale threshold
1309852,"Boykin CDP, Georgia",Denominator below story-scale threshold
1310076,"Braselton town, Georgia",Percentage MOE exceeds 50% of estimate
1310104,"Braswell town, Georgia",Denominator below story-scale threshold
