geoid,place,population,coresident_grandparents_total,responsible_total,estimate_less_than_six_months,estimate_six_to_eleven_months,estimate_one_or_two_years,estimate_three_or_four_years,estimate_five_plus_years,estimate_not_responsible,moe_population,moe_coresident_grandparents_total,moe_responsible_total,moe_less_than_six_months,moe_six_to_eleven_months,moe_one_or_two_years,moe_three_or_four_years,moe_five_plus_years,moe_not_responsible,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status,pct_responsible,moe_ratio,moe_exceeds_estimate,high_moe_flag,severe_moe_flag,cv_responsible_percent,responsible_ci90_lower,responsible_ci90_upper,pct_responsible_moe,percent_responsible_grandparents_less_than_six_months,percent_responsible_grandparents_less_than_six_months_moe,percent_responsible_grandparents_six_to_eleven_months,percent_responsible_grandparents_six_to_eleven_months_moe,percent_responsible_grandparents_one_or_two_years,percent_responsible_grandparents_one_or_two_years_moe,percent_responsible_grandparents_three_or_four_years,percent_responsible_grandparents_three_or_four_years_moe,percent_responsible_grandparents_five_plus_years,percent_responsible_grandparents_five_plus_years_moe,pct_responsible_ci90_lower,pct_responsible_ci90_upper,pct_responsible_cv_percent,pct_responsible_exclusion,percent_responsible_grandparents_less_than_six_months_ci90_lower,percent_responsible_grandparents_less_than_six_months_ci90_upper,percent_responsible_grandparents_less_than_six_months_cv_percent,percent_responsible_grandparents_less_than_six_months_exclusion,percent_responsible_grandparents_six_to_eleven_months_ci90_lower,percent_responsible_grandparents_six_to_eleven_months_ci90_upper,percent_responsible_grandparents_six_to_eleven_months_cv_percent,percent_responsible_grandparents_six_to_eleven_months_exclusion,percent_responsible_grandparents_one_or_two_years_ci90_lower,percent_responsible_grandparents_one_or_two_years_ci90_upper,percent_responsible_grandparents_one_or_two_years_cv_percent,percent_responsible_grandparents_one_or_two_years_exclusion,percent_responsible_grandparents_three_or_four_years_ci90_lower,percent_responsible_grandparents_three_or_four_years_ci90_upper,percent_responsible_grandparents_three_or_four_years_cv_percent,percent_responsible_grandparents_three_or_four_years_exclusion,percent_responsible_grandparents_five_plus_years_ci90_lower,percent_responsible_grandparents_five_plus_years_ci90_upper,percent_responsible_grandparents_five_plus_years_cv_percent,percent_responsible_grandparents_five_plus_years_exclusion,acs_year,acs_period,acs_product,state_fips,caregivers_per_1000_population,caregivers_per_1000_population_moe,story_scale_exclusion,national_rank_caregiver_count,national_percentile_caregiver_count,national_decile_caregiver_count,eligible_n_caregiver_count,exclusion_reason_caregiver_count,national_rank_caregiving_percent,national_percentile_caregiving_percent,national_decile_caregiving_percent,eligible_n_caregiving_percent,exclusion_reason_caregiving_percent,national_rank_less_than_six_months,national_percentile_less_than_six_months,national_decile_less_than_six_months,eligible_n_less_than_six_months,exclusion_reason_less_than_six_months,national_rank_six_to_eleven_months,national_percentile_six_to_eleven_months,national_decile_six_to_eleven_months,eligible_n_six_to_eleven_months,exclusion_reason_six_to_eleven_months,national_rank_one_or_two_years,national_percentile_one_or_two_years,national_decile_one_or_two_years,eligible_n_one_or_two_years,exclusion_reason_one_or_two_years,national_rank_three_or_four_years,national_percentile_three_or_four_years,national_decile_three_or_four_years,eligible_n_three_or_four_years,exclusion_reason_three_or_four_years,national_rank_five_plus_years,national_percentile_five_plus_years,national_decile_five_plus_years,eligible_n_five_plus_years,exclusion_reason_five_plus_years,national_rank_story_scale_caregiving_percent,national_percentile_story_scale_caregiving_percent,national_decile_story_scale_caregiving_percent,eligible_n_story_scale_caregiving_percent,exclusion_reason_story_scale_caregiving_percent,story_rank
1311560,"Brunswick city, Georgia",15307,624,460,104,62,112,0,182,164,27,256,218,142,74,135,23,118,98,460,0,Pass,624,0,Pass,73.71794871794873,0.47391304347826085,FALSE,TRUE,FALSE,28.811867251470808,242,678,17.488913430566217,22.608695652173914,28.9504464811291,13.478260869565217,14.76447466099072,24.347826086956523,26.984293393320225,0,5,39.565217391304344,17.505822006534995,56.229035287382516,91.20686214851494,14.423223363833843,Retained,0,51.55914213330301,77.84890378408943,Percentage MOE exceeds 50% of estimate,0,28.242735530555937,66.59734016579445,Percentage MOE exceeds 50% of estimate,0,51.332119480276745,67.37885125427768,Percentage MOE exceeds 50% of estimate,0,5,NA,Unavailable MOE or zero percentage,22.05939538476935,57.07103939783934,26.89934439597803,Retained,2024,2020-2024,ACS five-year,13,30.051610374338537,14.24175148599944,Retained,524,98.35976028466196,10,32038,Retained,22,97.21141374837873,10,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,490,17.45362563237774,2,593,Retained,14,98.19759679572763,10,749,Retained,1
1319112,"Commerce city, Georgia",8013,352,250,0,5,13,121,111,102,33,154,116,20,10,20,96,106,76,250,0,Pass,352,0,Pass,71.02272727272727,0.464,FALSE,TRUE,FALSE,28.2091970007061,134,366,10.977492465421385,0,8,2,3.89086314331409,5.2,7.627476395243711,48.4,31.14829372919165,44.4,37.05852233211681,60.04523480730588,82.00021973814864,9.39676889059097,Retained,0,8,NA,Unavailable MOE or zero percentage,0,5.89086314331409,118.27384150057513,Percentage MOE exceeds 50% of estimate,0,12.82747639524371,89.17646893719557,Percentage MOE exceeds 50% of estimate,17.25170627080835,79.54829372919164,39.125656973257414,Percentage MOE exceeds 50% of estimate,7.34147766788319,81.45852233211681,50.74320232514706,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,31.19930113565456,14.475905506166928,Retained,1092,96.58842624383544,10,32038,Retained,32,95.91439688715953,10,771,Retained,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,19,97.53004005340453,10,749,Retained,2
1344340,"LaGrange city, Georgia",32078,928,558,0,0,66,121,371,370,49,292,238,30,30,93,110,209,193,558,0,Pass,928,0,Pass,60.129310344827594,0.4265232974910394,FALSE,TRUE,FALSE,25.930775267921344,320,796,17.314135022618036,0,5.376344086021505,0,5.376344086021505,11.827956989247312,15.884796808951442,21.68458781362007,17.4088775819662,66.48745519713262,24.46814630091118,42.815175322209555,77.44344536744563,17.506015976697388,Retained,0,5.376344086021505,NA,Unavailable MOE or zero percentage,0,5.376344086021505,NA,Unavailable MOE or zero percentage,0,27.712753798198754,81.64783446804583,Percentage MOE exceeds 50% of estimate,4.275710231653871,39.093465395586264,48.8081496076411,Percentage MOE exceeds 50% of estimate,42.01930889622144,90.95560149804379,22.373508902920342,Retained,2024,2020-2024,ACS five-year,13,17.395099445102563,7.419367594555343,Retained,408,98.72495161995131,10,32038,Retained,72,90.72632944228275,10,771,Retained,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,90,84.90725126475549,9,593,Retained,57,92.45660881174899,10,749,Retained,3
1338964,"Hinesville city, Georgia",35679,732,407,42,19,34,69,243,325,49,223,180,49,32,42,62,132,155,407,0,Pass,732,0,Pass,55.60109289617486,0.44226044226044225,FALSE,TRUE,FALSE,26.887525735655647,227,587,17.825838657748385,10.319410319410318,11.140742912583592,4.668304668304668,7.586491774715082,8.353808353808354,9.635375618260902,16.953316953316953,13.260475592842358,59.7051597051597,18.831528996981277,37.77525423842648,73.42693155392325,19.491236290574108,Retained,0,21.46015323199391,65.63447480654935,Percentage MOE exceeds 50% of estimate,0,12.25479644301975,98.79945360026079,Percentage MOE exceeds 50% of estimate,0,17.989183972069256,70.12241826791842,Percentage MOE exceeds 50% of estimate,3.6928413604745955,30.21379254615931,47.55291694992155,Percentage MOE exceeds 50% of estimate,40.873630708178425,78.53668870214098,19.17548963204592,Retained,2024,2020-2024,ACS five-year,13,11.40727038313854,5.044960120266727,Retained,606,98.10849616080904,10,32038,Retained,100,87.094682230869,9,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,170,71.41652613827993,8,593,Retained,85,88.71829105473965,9,749,Retained,4
1301052,"Albany city, Georgia",67224,1464,782,43,83,221,165,270,682,35,305,218,39,80,137,98,107,215,782,0,Pass,1464,0,Pass,53.41530054644809,0.27877237851662406,FALSE,FALSE,FALSE,16.94815720674754,564,1000,9.894275927373544,5.498721227621484,4.745790729131104,10.61381074168798,9.79294873791514,28.26086956521739,15.647789857523536,21.099744245524295,11.06580436342273,34.52685421994885,9.725100977684898,43.521024619074545,63.30957647382163,11.261366285183051,Retained,0.7529304984903797,10.24451195675259,52.47103421256408,Percentage MOE exceeds 50% of estimate,0.8208620037728398,20.406759479603117,56.093803014527815,Percentage MOE exceeds 50% of estimate,12.613079707693855,43.908659422740925,33.66202418594245,Percentage MOE exceeds 50% of estimate,10.033939882101565,32.16554860894703,31.884421370505333,Percentage MOE exceeds 50% of estimate,24.801753242263956,44.25195519763375,17.12418265142523,Retained,2024,2020-2024,ACS five-year,13,11.632750208258956,3.242883788493127,Retained,257,99.19938822648105,10,32038,Retained,116,85.01945525291829,9,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,535,9.865092748735245,1,593,Retained,100,86.71562082777037,9,749,Retained,5
1319000,"Columbus city, Georgia",203711,4411,2052,90,230,504,424,804,2359,NA,639,420,80,181,232,144,267,437,2052,0,Pass,4411,0,Pass,46.52006347766947,0.2046783625730994,FALSE,FALSE,FALSE,12.443560887082999,1632,2472,6.726507128337798,4.385964912280701,3.793872894927994,11.208576998050681,8.517097676035124,24.561403508771928,10.126894292485709,20.66276803118908,5.59996491943605,39.1812865497076,10.246504892608838,39.793556349331666,53.24657060600727,8.790671503574334,Retained,0.5920920173527073,8.179837807208695,52.58844956598093,Percentage MOE exceeds 50% of estimate,2.6914793220155566,19.725674674085806,46.1970125298326,Percentage MOE exceeds 50% of estimate,14.43450921628622,34.68829780125763,25.06662361117175,Retained,15.06280311175303,26.262732950625132,16.47667401627151,Retained,28.93478165709876,49.42779144231644,15.898999755344692,Retained,2024,2020-2024,ACS five-year,13,10.073093745551295,NA,Retained,65,99.79867657157126,10,32038,Retained,195,74.77302204928664,8,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,62,60.064935064935064,7,154,Retained,47,59.21052631578947,6,114,Retained,494,16.779089376053964,2,593,Retained,177,76.43524699599466,8,749,Retained,6
1304000,"Atlanta city, Georgia",505268,5789,2563,345,317,208,142,1551,3226,79,769,482,128,130,85,89,427,629,2563,0,Pass,5789,0,Pass,44.27362238728623,0.18806086617245416,FALSE,FALSE,FALSE,11.433288840478847,2081,3045,5.8937018186262025,13.460788138899726,4.305029937004763,12.368318376902069,4.507411672515343,8.115489660554038,2.9443805855505003,5.540382364416699,3.3124903875048,60.51502145922747,12.167379035777332,38.379920568660026,50.167324205912436,8.09311751033401,Retained,9.155758201894963,17.76581807590449,19.443678444230184,Retained,7.860906704386726,16.875730049417413,22.15589570900852,Retained,5.171109075003538,11.059870246104538,22.057280184022773,Retained,2.2278919769118986,8.852872751921499,36.34859526410376,Percentage MOE exceeds 50% of estimate,48.34764242345014,72.6824004950048,12.223809944849515,Retained,2024,2020-2024,ACS five-year,13,5.072555554675934,0.9539488616277603,Retained,46,99.85798114738748,10,32038,Retained,228,70.49286640726329,8,771,Retained,16,67.70833333333333,7,48,Retained,15,63.75,7,40,Retained,154,0.3246753246753247,1,154,Retained,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,159,73.27150084317032,8,593,Retained,209,72.16288384512684,8,749,Retained,7
1369000,"Savannah city, Georgia",147898,2848,1238,186,215,142,105,590,1610,64,445,274,136,145,92,70,188,360,1238,0,Pass,2848,0,Pass,43.46910112359551,0.22132471728594508,FALSE,FALSE,FALSE,13.455587394493119,964,1512,6.81378236120242,15.024232633279484,10.47010788957446,17.366720516962843,11.063784457789556,11.470113085621971,6.984285075317915,8.481421647819062,5.333592522395643,47.65751211631664,10.92484528117512,36.65531876239309,50.28288348479793,9.529724403259703,Retained,4.554124743705023,25.494340522853946,42.36737927114138,Percentage MOE exceeds 50% of estimate,6.3029360591732875,28.4305049747524,38.73099323123519,Percentage MOE exceeds 50% of estimate,4.485828010304056,18.45439816093989,37.0191975951969,Percentage MOE exceeds 50% of estimate,3.147829125423419,13.815014170214704,38.23172750122343,Percentage MOE exceeds 50% of estimate,36.732666835141515,58.58235739749176,13.936594738850173,Retained,2024,2020-2024,ACS five-year,13,8.37063381519696,1.8526246215852606,Retained,137,99.57394344216243,10,32038,Retained,245,68.28793774319067,7,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,369,37.85834738617201,4,593,Retained,226,69.89319092122831,7,749,Retained,8
1373704,"Stockbridge city, Georgia",35737,672,284,70,69,22,13,110,388,41,246,128,63,56,38,28,74,181,284,0,Pass,672,0,Pass,42.26190476190476,0.4507042253521127,FALSE,TRUE,FALSE,27.400871297431863,156,412,11.111426182384616,24.647887323943664,19.201095000336185,24.295774647887324,16.398313390813684,7.746478873239436,12.916743719890947,4.577464788732395,9.640883030558351,38.732394366197184,19.344017340868024,31.150478579520144,53.37333094428938,15.984294834607866,Retained,5.446792323607479,43.848982324279845,47.36080107888756,Percentage MOE exceeds 50% of estimate,7.89746125707364,40.69408803870101,41.033746823307574,Percentage MOE exceeds 50% of estimate,0,20.663222593130385,101.37280071451659,Percentage MOE exceeds 50% of estimate,0,14.218347819290745,128.04556615089345,Percentage MOE exceeds 50% of estimate,19.38837702532916,58.076411707065205,30.363027361055718,Retained,2024,2020-2024,ACS five-year,13,7.946945742507766,3.581710420708463,Retained,935,97.07690867095324,10,32038,Retained,260,66.34241245136187,7,771,Retained,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,499,15.935919055649242,2,593,Retained,241,67.89052069425901,7,749,Retained,9
1349008,"Macon-Bibb County, Georgia",156578,2563,1048,0,206,235,157,450,1515,NA,428,315,34,165,139,82,176,338,1048,0,Pass,2563,0,Pass,40.889582520483806,0.3005725190839695,FALSE,TRUE,FALSE,18.273511646202994,733,1363,10.21892562536361,0,3.2442748091603053,19.65648854961832,14.593675298610204,22.423664122137403,11.423219006262116,14.980916030534353,6.398905550697474,42.93893129770993,10.745381722464543,30.670656895120196,51.108508145847416,15.193761505453855,Retained,0,3.2442748091603053,NA,Unavailable MOE or zero percentage,5.062813251008116,34.250163848228524,45.13687466658119,Percentage MOE exceeds 50% of estimate,11.000445115875287,33.84688312839952,30.97095996200398,Percentage MOE exceeds 50% of estimate,8.582010479836878,21.379821581231827,25.968093929473227,Retained,32.193549575245385,53.68431302017447,15.21399818821431,Retained,2024,2020-2024,ACS five-year,13,6.693149740065654,NA,Retained,169,99.47250140458206,10,32038,Retained,281,63.61867704280156,7,771,Retained,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,86,25,3,114,Retained,444,25.21079258010118,3,593,Retained,261,65.22029372496662,7,749,Retained,10
