geography_type,geoid,name,acs_period,source_variable,duration,estimate_grandparents_in_duration,moe_grandparents_in_duration,denominator_responsible_grandparents,denominator_moe,percent_of_responsible_grandparents,percent_moe,percent_ci90_lower,percent_ci90_upper,precision_disposition,duration_reconciliation_status
State/DC,38,North Dakota,2020-2024,B10050_004,Less than six months,328,132,3769,378,8.702573626956752,3.39175717428161,5.310816452675143,12.094330801238362,Retained,Pass
State/DC,21,Kentucky,2020-2024,B10050_004,Less than six months,3653,612,48988,2074,7.456928227320976,1.2087372908021676,6.248190936518808,8.665665518123143,Retained,Pass
State/DC,28,Mississippi,2020-2024,B10050_004,Less than six months,2577,444,36688,1822,7.024095071958134,1.1588413207390085,5.865253751219125,8.182936392697142,Retained,Pass
State/DC,22,Louisiana,2020-2024,B10050_004,Less than six months,3942,653,50347,2275,7.829662144715674,1.247812308353559,6.581849836362115,9.077474453069232,Retained,Pass
State/DC,54,West Virginia,2020-2024,B10050_004,Less than six months,1493,452,18349,1423,8.136683197994442,2.3811573710848646,5.755525826909578,10.517840569079306,Retained,Pass
State/DC,01,Alabama,2020-2024,B10050_004,Less than six months,3203,542,52977,2341,6.046019970930781,0.9875856649398744,5.058434305990907,7.033605635870655,Retained,Pass
State/DC,56,Wyoming,2020-2024,B10050_004,Less than six months,396,151,3627,518,10.918114143920596,3.8601793960042543,7.057934747916341,14.77829353992485,Retained,Pass
State/DC,30,Montana,2020-2024,B10050_004,Less than six months,489,131,7359,656,6.644924582144313,1.6786902376268529,4.96623434451746,8.323614819771166,Retained,Pass
State/DC,05,Arkansas,2020-2024,B10050_004,Less than six months,2986,433,31874,1664,9.3681370395934,1.267384416890749,8.10075262270265,10.635521456484147,Retained,Pass
State/DC,46,South Dakota,2020-2024,B10050_004,Less than six months,458,188,5865,536,7.809036658141517,3.1250010290293817,4.6840356291121354,10.9340376871709,Retained,Pass
State/DC,40,Oklahoma,2020-2024,B10050_004,Less than six months,2830,449,37439,1444,7.558962579128716,1.1633074428675243,6.395655136261191,8.722270021996241,Retained,Pass
State/DC,47,Tennessee,2020-2024,B10050_004,Less than six months,5248,844,68870,3229,7.62015391316974,1.1722622499749429,6.447891663194797,8.792416163144683,Retained,Pass
State/DC,35,New Mexico,2020-2024,B10050_004,Less than six months,1387,347,20650,1621,6.716707021791768,1.5955267873784749,5.121180234413293,8.312233809170243,Retained,Pass
State/DC,45,South Carolina,2020-2024,B10050_004,Less than six months,4070,854,47484,2479,8.571308230140678,1.7419424119375322,6.829365818203146,10.313250642078213,Retained,Pass
State/DC,29,Missouri,2020-2024,B10050_004,Less than six months,4405,945,42245,2090,10.427269499349036,2.176654970254896,8.25061452909414,12.603924469603932,Retained,Pass
State/DC,18,Indiana,2020-2024,B10050_004,Less than six months,3795,527,48111,2309,7.888008979235519,1.027885924515873,6.8601230547196455,8.915894903751392,Retained,Pass
State/DC,39,Ohio,2020-2024,B10050_004,Less than six months,5830,637,78003,2399,7.474071510070125,0.7836162406877145,6.690455269382411,8.257687750757839,Retained,Pass
State/DC,20,Kansas,2020-2024,B10050_004,Less than six months,1910,342,17439,1284,10.952462870577442,1.7876529135678707,9.16480995700957,12.740115784145312,Retained,Pass
State/DC,37,North Carolina,2020-2024,B10050_004,Less than six months,6435,831,77588,2759,8.293808320874362,1.029635957886473,7.264172362987889,9.323444278760835,Retained,Pass
State/DC,19,Iowa,2020-2024,B10050_004,Less than six months,1534,402,12823,869,11.96287920143492,3.0283530146749396,8.934526186759982,14.99123221610986,Retained,Pass
State/DC,02,Alaska,2020-2024,B10050_004,Less than six months,612,204,6195,579,9.878934624697337,3.1608867126280615,6.7180479120692755,13.039821337325398,Retained,Pass
State/DC,50,Vermont,2020-2024,B10050_004,Less than six months,150,63,2530,424,5.928853754940711,2.283293487964242,3.645560266976469,8.212147242904953,Retained,Pass
State/DC,13,Georgia,2020-2024,B10050_004,Less than six months,7617,957,89880,3211,8.474632843791722,1.0208013984746416,7.453831445317081,9.495434242266365,Retained,Pass
State/DC,10,Delaware,2020-2024,B10050_004,Less than six months,1293,352,8033,985,16.096103572762356,3.912263489007265,12.18384008375509,20.008367061769626,Retained,Pass
State/DC,55,Wisconsin,2020-2024,B10050_004,Less than six months,1830,361,21035,1567,8.699786070834325,1.5891125637764163,7.110673507057909,10.28889863461074,Retained,Pass
State/DC,51,Virginia,2020-2024,B10050_004,Less than six months,2989,562,56987,2457,5.2450558899398105,0.9599117633751209,4.28514412656469,6.204967653314931,Retained,Pass
State/DC,23,Maine,2020-2024,B10050_004,Less than six months,475,172,5742,808,8.272378962034134,2.760035587067523,5.512343374966611,11.032414549101656,Retained,Pass
State/DC,16,Idaho,2020-2024,B10050_004,Less than six months,786,313,10858,898,7.238902191932215,2.819812909061661,4.419089282870555,10.058715100993876,Retained,Pass
State/DC,42,Pennsylvania,2020-2024,B10050_004,Less than six months,5511,796,72511,2898,7.600226172580712,1.05490320915746,6.545322963423253,8.655129381738172,Retained,Pass
State/DC,11,District of Columbia,2020-2024,B10050_004,Less than six months,300,162,2984,674,10.05361930294906,4.93121725237439,5.122402050574671,14.98483655532345,Retained,Pass
State/DC,08,Colorado,2020-2024,B10050_004,Less than six months,2515,540,31034,1903,8.104014951343688,1.6675574620590303,6.436457489284657,9.771572413402716,Retained,Pass
State/DC,31,Nebraska,2020-2024,B10050_004,Less than six months,668,194,7846,748,8.513892429263318,2.335577931898627,6.178314497364692,10.849470361161943,Retained,Pass
State/DC,48,Texas,2020-2024,B10050_004,Less than six months,22211,1331,235377,4783,9.436351045344278,0.5319717768410309,8.904379268503247,9.968322822185309,Retained,Pass
State/DC,26,Michigan,2020-2024,B10050_004,Less than six months,4822,509,50342,2123,9.578483175082436,0.9268895017275728,8.651593673354864,10.505372676810008,Retained,Pass
State/DC,04,Arizona,2020-2024,B10050_004,Less than six months,3797,628,47546,2431,7.9859504479872125,1.2561285146035546,6.729821933383658,9.242078962590767,Retained,Pass
State/DC,27,Minnesota,2020-2024,B10050_004,Less than six months,1604,299,18407,1195,8.71407616667572,1.5226854276994517,7.191390738976269,10.236761594375173,Retained,Pass
State/DC,17,Illinois,2020-2024,B10050_004,Less than six months,5523,802,65182,2235,8.473198122180971,1.1956072085770952,7.277590913603876,9.668805330758069,Retained,Pass
State/DC,12,Florida,2020-2024,B10050_004,Less than six months,11326,1225,132601,3865,8.541413714828696,0.8896454747800826,7.6517682400486144,9.431059189608778,Retained,Pass
State/DC,53,Washington,2020-2024,B10050_004,Less than six months,3007,432,38725,1990,7.765009683666882,1.0417519132986557,6.723257770368226,8.806761596965538,Retained,Pass
State/DC,41,Oregon,2020-2024,B10050_004,Less than six months,1658,462,18763,1300,8.836539998934072,2.384962320009664,6.451577678924408,11.221502318943736,Retained,Pass
State/DC,32,Nevada,2020-2024,B10050_004,Less than six months,2908,678,20958,1323,13.875369787193431,3.114208182217325,10.761161604976108,16.989577969410757,Retained,Pass
State/DC,24,Maryland,2020-2024,B10050_004,Less than six months,3536,745,37200,1948,9.50537634408602,1.939845411145912,7.565530932940108,11.445221755231932,Retained,Pass
State/DC,09,Connecticut,2020-2024,B10050_004,Less than six months,1629,411,15662,1281,10.400970501851615,2.482471245802032,7.918499256049584,12.883441747653649,Retained,Pass
State/DC,33,New Hampshire,2020-2024,B10050_004,Less than six months,816,238,5647,677,14.450150522401277,3.8421271475057335,10.60802337489554,18.29227766990701,Retained,Pass
State/DC,44,Rhode Island,2020-2024,B10050_004,Less than six months,563,343,5226,947,10.77305778798316,6.266290220217494,4.506767567765667,17.039348008200655,Percentage MOE exceeds 50% of estimate,Pass
State/DC,36,New York,2020-2024,B10050_004,Less than six months,8092,753,97966,2848,8.260008574403365,0.7301617507929854,7.529846823610379,8.99017032519635,Retained,Pass
State/DC,49,Utah,2020-2024,B10050_004,Less than six months,1495,350,14948,1218,10.001337971635,2.195056441708523,7.806281529926478,12.196394413343524,Retained,Pass
