geoid,name,estimate_coresident_grandparents_total,estimate_responsible_total,estimate_less_than_six_months,estimate_six_to_eleven_months,estimate_one_or_two_years,estimate_three_or_four_years,estimate_five_plus_years,estimate_not_responsible,moe_coresident_grandparents_total,moe_responsible_total,moe_less_than_six_months,moe_six_to_eleven_months,moe_one_or_two_years,moe_three_or_four_years,moe_five_plus_years,moe_not_responsible,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status,pct_responsible,moe_ratio,moe_exceeds_estimate,high_moe_flag,severe_moe_flag,cv_responsible_percent,responsible_ci90_lower,responsible_ci90_upper,pct_responsible_moe,percent_responsible_grandparents_less_than_six_months,percent_responsible_grandparents_less_than_six_months_moe,percent_responsible_grandparents_six_to_eleven_months,percent_responsible_grandparents_six_to_eleven_months_moe,percent_responsible_grandparents_one_or_two_years,percent_responsible_grandparents_one_or_two_years_moe,percent_responsible_grandparents_three_or_four_years,percent_responsible_grandparents_three_or_four_years_moe,percent_responsible_grandparents_five_plus_years,percent_responsible_grandparents_five_plus_years_moe,pct_responsible_ci90_lower,pct_responsible_ci90_upper,pct_responsible_cv_percent,pct_responsible_exclusion,percent_responsible_grandparents_less_than_six_months_ci90_lower,percent_responsible_grandparents_less_than_six_months_ci90_upper,percent_responsible_grandparents_less_than_six_months_cv_percent,percent_responsible_grandparents_less_than_six_months_exclusion,percent_responsible_grandparents_six_to_eleven_months_ci90_lower,percent_responsible_grandparents_six_to_eleven_months_ci90_upper,percent_responsible_grandparents_six_to_eleven_months_cv_percent,percent_responsible_grandparents_six_to_eleven_months_exclusion,percent_responsible_grandparents_one_or_two_years_ci90_lower,percent_responsible_grandparents_one_or_two_years_ci90_upper,percent_responsible_grandparents_one_or_two_years_cv_percent,percent_responsible_grandparents_one_or_two_years_exclusion,percent_responsible_grandparents_three_or_four_years_ci90_lower,percent_responsible_grandparents_three_or_four_years_ci90_upper,percent_responsible_grandparents_three_or_four_years_cv_percent,percent_responsible_grandparents_three_or_four_years_exclusion,percent_responsible_grandparents_five_plus_years_ci90_lower,percent_responsible_grandparents_five_plus_years_ci90_upper,percent_responsible_grandparents_five_plus_years_cv_percent,percent_responsible_grandparents_five_plus_years_exclusion,acs_year,acs_period,acs_product,national_rank,map_pct_responsible
38,North Dakota,6973,3769,328,317,815,480,1829,3204,540,378,132,149,209,216,206,484,3769,0,Pass,6973,0,Pass,54.05134088627563,0.10029185460334306,FALSE,FALSE,FALSE,6.097311819120425,3391,4147,3.4445850620892657,8.702573626956752,3.39175717428161,8.41071902361369,3.8622622324376734,21.623772884054127,5.103572243507233,12.735473600424516,5.58681790272049,48.52746086495092,2.4872525307999136,50.606755824186365,57.4959259483649,3.874388659486763,Retained,5.310816452675143,12.094330801238362,23.694622242585368,Retained,4.548456791176017,12.272981256051365,27.917811833362403,Retained,16.520200640546893,26.72734512756136,14.348798561806666,Retained,7.148655697704026,18.322291503145006,26.669947417524288,Retained,46.04020833415101,51.01471339575083,3.116054584017592,Retained,2024,2020-2024,ACS five-year,1,54.05134088627563
21,Kentucky,96378,48988,3653,3330,8253,7415,26337,47390,2558,2074,612,483,861,730,1387,1860,48988,0,Pass,96378,0,Pass,50.82902737139181,0.04233689883236711,FALSE,FALSE,FALSE,2.5739006887094997,46914,51062,1.6765652231185868,7.456928227320976,1.2087372908021676,6.7975830815709974,0.943019861247722,16.846982934596227,1.6063435786582907,15.13635992487956,1.3453329413385868,53.76214583163224,1.68391145244101,49.15246214827322,52.5055925945104,2.005309434888592,Retained,6.248190936518808,8.665665518123143,9.854729340659237,Retained,5.854563220323275,7.74060294281872,8.434106069675899,Retained,15.240639355937937,18.453326513254517,5.796809772018176,Retained,13.791026983540974,16.481692866218147,5.403573626300761,Retained,52.07823437919123,55.44605728407325,1.9042124454110565,Retained,2024,2020-2024,ACS five-year,2,50.82902737139181
28,Mississippi,74790,36688,2577,3614,6380,5897,18220,38102,2604,1822,444,668,778,882,1319,1921,36688,0,Pass,74790,0,Pass,49.05468645540847,0.04966201482773659,FALSE,FALSE,FALSE,3.0192361201026054,34866,38510,1.7371581036207284,7.024095071958134,1.1588413207390085,9.850632359354556,1.753808393124502,17.389882250327084,1.936761350476769,16.073375490623636,2.267664733939149,49.66201482773659,2.6158388911762716,47.31752835178774,50.7918445590292,2.1529383093033188,Retained,5.865253751219125,8.182936392697142,10.030124746710396,Retained,8.096823966230055,11.604440752479055,10.824074593055938,Retained,15.453120899850315,19.326643600803852,6.7709906131358055,Retained,13.805710756684489,18.341040224562786,8.577179499650947,Retained,47.04617593656032,52.277853718912866,3.2022807181454067,Retained,2024,2020-2024,ACS five-year,3,49.05468645540847
22,Louisiana,103163,50347,3942,4300,9432,8793,23880,52816,3079,2275,653,927,935,995,1652,2072,50347,0,Pass,103163,0,Pass,48.803350038288926,0.04518640634000039,FALSE,FALSE,FALSE,2.7471384443944533,48072,52622,1.6557425897038385,7.829662144715674,1.247812308353559,8.5407273521759,1.8003222558914136,18.73398613621467,1.6529564410222009,17.464794327368065,1.8118800818333032,47.43083003952569,2.4845582068820207,47.147607448585084,50.45909262799277,2.06260434684911,Retained,6.581849836362115,9.077474453069232,9.689000671876244,Retained,6.740405096284486,10.341049608067314,12.815281064242685,Retained,17.08102969519247,20.386942577236873,5.3641875992925385,Retained,15.65291424553476,19.27667440920137,6.3072307277575295,Retained,44.94627183264367,49.91538824640771,3.184646220396368,Retained,2024,2020-2024,ACS five-year,4,48.803350038288926
54,West Virginia,37894,18349,1493,1132,3551,2812,9361,19545,1979,1423,452,308,629,507,930,1264,18349,0,Pass,37894,0,Pass,48.42191375943421,0.07755191018584119,FALSE,FALSE,FALSE,4.714821362529009,16926,19772,2.7760951458005683,8.136683197994442,2.3811573710848646,6.169273529892638,1.6089371063576476,19.35255327265791,3.0819737020618465,15.325085835740367,2.494429228696405,51.01640416371465,3.167867264189091,45.64581861363365,51.19800890523478,3.485500425099835,Retained,5.755525826909578,10.517840569079306,17.791535646428155,Retained,4.56033642353499,7.778210636250286,15.85542124509282,Retained,16.270579570596063,22.43452697471976,9.681962589340383,Retained,12.830656607043965,17.81951506443677,9.89557453420372,Retained,47.84853689952555,54.18427142790374,3.7751122946121254,Retained,2024,2020-2024,ACS five-year,5,48.42191375943421
01,Alabama,110944,52977,3203,3522,9991,9066,27195,57967,3125,2341,542,594,1216,856,1518,2206,52977,0,Pass,110944,0,Pass,47.75111768099221,0.04418898767389622,FALSE,FALSE,FALSE,2.6864996951610176,50636,55318,1.6258300190319364,6.046019970930781,0.9875856649398744,6.648168072937312,1.082071073144049,18.859127545916152,2.138706980505685,17.113086811257716,1.4279151481375156,51.33359759895803,1.750696617346808,46.12528766196027,49.37694770002415,2.069971375750988,Retained,5.058434305990907,7.033605635870655,9.93065611733154,Retained,5.566096999793263,7.730239146081361,9.895244739824552,Retained,16.720420565410468,20.997834526421837,6.8944945469515275,Retained,15.6851716631202,18.54100195939523,5.0727889087165074,Retained,49.58290098161123,53.08429421630484,2.0733944607506345,Retained,2024,2020-2024,ACS five-year,6,47.75111768099221
56,Wyoming,7630,3627,396,359,714,639,1519,4003,806,518,151,142,195,273,321,572,3627,0,Pass,7630,0,Pass,47.536041939711666,0.14281775572098152,FALSE,FALSE,FALSE,8.68270303088769,3109,4145,4.568908825833944,10.918114143920596,3.8601793960042543,9.897987317342157,3.650968820872741,19.685690653432587,4.582655754955787,17.617866004962778,7.093868294859059,41.88034188034188,6.523204396457884,42.96713311387772,52.10495076554561,5.843354267001422,Retained,7.057934747916341,14.77829353992485,21.494760040703433,Retained,6.2470184964694155,13.548956138214898,22.42507862035191,Retained,15.1030348984768,24.268346408388375,14.15270067773494,Retained,10.52399771010372,24.711734299821835,24.479501054934776,Retained,35.357137483883996,48.403546276799766,9.469422886074794,Retained,2024,2020-2024,ACS five-year,7,47.536041939711666
30,Montana,15554,7359,489,610,1493,918,3849,8195,935,656,131,194,348,250,480,634,7359,0,Pass,15554,0,Pass,47.31258840169731,0.08914254654164969,FALSE,FALSE,FALSE,5.41948201840088,6703,8015,3.1143050133243264,6.644924582144313,1.6786902376268529,8.289169724147301,2.530552780873081,20.288082619921184,4.369409750817996,12.474520994700368,3.210047528762029,52.30330207908683,4.5613820090121155,44.198283388372985,50.42689341502164,4.001816585117703,Retained,4.96623434451746,8.323614819771166,15.358657363414336,Retained,5.758616943274221,10.819722505020382,18.55996321517444,Retained,15.918672869103188,24.65749237073918,13.09346259672331,Retained,9.264473465938336,15.684568523462396,15.644451010996466,Retained,47.74192007007472,56.86468408809895,5.302004357478539,Retained,2024,2020-2024,ACS five-year,8,47.31258840169731
05,Arkansas,67877,31874,2986,2380,5600,4952,15956,36003,2794,1664,433,434,786,599,1242,1903,31874,0,Pass,67877,0,Pass,46.95846899538872,0.05220555939009851,FALSE,FALSE,FALSE,3.173872649498602,30210,33538,1.5078372971425138,9.3681370395934,1.267384416890749,7.466900922381879,1.304618987436816,17.56917864089854,2.289035897908134,15.536173683880278,1.6952377765142388,50.0596097132459,2.8902644863048708,45.450631698246205,48.46630629253123,1.9521504977072128,Retained,8.10075262270265,10.635521456484147,8.224847818202791,Retained,6.162281934945064,8.771519909818695,10.62223852571246,Retained,15.280142742990405,19.85821453880667,7.920888284356186,Retained,13.84093590736604,17.23141146039452,6.633753000689554,Retained,47.169345226941026,52.94987419955077,3.510127327293283,Retained,2024,2020-2024,ACS five-year,9,46.95846899538872
46,South Dakota,12604,5865,458,351,1197,853,3006,6739,868,536,188,131,252,183,353,558,5865,0,Pass,12604,0,Pass,46.53284671532847,0.09138959931798808,FALSE,FALSE,FALSE,5.556093127105003,5329,6401,2.7956102258045044,7.809036658141517,3.1250010290293817,5.9846547314578,2.1655904743065375,20.40920716112532,3.870721729890015,14.54390451832907,2.8229428248100947,51.25319693094629,3.779612964179421,43.737236489523966,49.32845694113297,3.652495938058269,Retained,4.6840356291121354,10.9340376871709,24.329066548163368,Retained,3.8190642571512625,8.150245205764337,21.99935640492667,Retained,16.538485431235305,24.279928891015334,11.530245646182294,Retained,11.720961693518976,17.366847343139163,11.80032070670374,Retained,47.47358396676687,55.03280989512571,4.483313551447468,Retained,2024,2020-2024,ACS five-year,10,46.53284671532847
