geoid,name,metric,reason
38,North Dakota,pct_responsible_exclusion,Retained
38,North Dakota,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
38,North Dakota,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
38,North Dakota,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
38,North Dakota,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
38,North Dakota,percent_responsible_grandparents_five_plus_years_exclusion,Retained
21,Kentucky,pct_responsible_exclusion,Retained
21,Kentucky,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
21,Kentucky,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
21,Kentucky,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
21,Kentucky,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
21,Kentucky,percent_responsible_grandparents_five_plus_years_exclusion,Retained
28,Mississippi,pct_responsible_exclusion,Retained
28,Mississippi,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
28,Mississippi,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
28,Mississippi,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
28,Mississippi,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
28,Mississippi,percent_responsible_grandparents_five_plus_years_exclusion,Retained
22,Louisiana,pct_responsible_exclusion,Retained
22,Louisiana,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
22,Louisiana,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
22,Louisiana,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
22,Louisiana,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
22,Louisiana,percent_responsible_grandparents_five_plus_years_exclusion,Retained
54,West Virginia,pct_responsible_exclusion,Retained
54,West Virginia,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
54,West Virginia,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
54,West Virginia,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
54,West Virginia,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
54,West Virginia,percent_responsible_grandparents_five_plus_years_exclusion,Retained
01,Alabama,pct_responsible_exclusion,Retained
01,Alabama,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
01,Alabama,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
01,Alabama,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
01,Alabama,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
01,Alabama,percent_responsible_grandparents_five_plus_years_exclusion,Retained
56,Wyoming,pct_responsible_exclusion,Retained
56,Wyoming,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
56,Wyoming,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
56,Wyoming,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
56,Wyoming,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
56,Wyoming,percent_responsible_grandparents_five_plus_years_exclusion,Retained
30,Montana,pct_responsible_exclusion,Retained
30,Montana,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
30,Montana,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
30,Montana,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
30,Montana,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
30,Montana,percent_responsible_grandparents_five_plus_years_exclusion,Retained
05,Arkansas,pct_responsible_exclusion,Retained
05,Arkansas,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
05,Arkansas,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
05,Arkansas,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
05,Arkansas,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
05,Arkansas,percent_responsible_grandparents_five_plus_years_exclusion,Retained
46,South Dakota,pct_responsible_exclusion,Retained
46,South Dakota,percent_responsible_grandparents_less_than_six_months_exclusion,Retained
46,South Dakota,percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained
46,South Dakota,percent_responsible_grandparents_one_or_two_years_exclusion,Retained
46,South Dakota,percent_responsible_grandparents_three_or_four_years_exclusion,Retained
46,South Dakota,percent_responsible_grandparents_five_plus_years_exclusion,Retained
40,Oklahoma,pct_responsible_exclusion,Retained
