geoid,name,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status
0100100,"Abanda CDP, Alabama",0,0,Pass,0,0,Pass
0100124,"Abbeville city, Alabama",7,0,Pass,14,0,Pass
0100460,"Adamsville city, Alabama",74,0,Pass,192,0,Pass
0100484,"Addison town, Alabama",3,0,Pass,5,0,Pass
0100676,"Akron town, Alabama",0,0,Pass,6,0,Pass
0100820,"Alabaster city, Alabama",200,0,Pass,598,0,Pass
0100988,"Albertville city, Alabama",120,0,Pass,409,0,Pass
0101132,"Alexander City city, Alabama",179,0,Pass,411,0,Pass
0101180,"Alexandria CDP, Alabama",21,0,Pass,252,0,Pass
0101228,"Aliceville city, Alabama",44,0,Pass,50,0,Pass
0101396,"Allgood town, Alabama",7,0,Pass,9,0,Pass
0101660,"Altoona town, Alabama",16,0,Pass,28,0,Pass
0101708,"Andalusia city, Alabama",208,0,Pass,357,0,Pass
0101756,"Anderson town, Alabama",10,0,Pass,10,0,Pass
0101852,"Anniston city, Alabama",234,0,Pass,377,0,Pass
0102116,"Arab city, Alabama",41,0,Pass,165,0,Pass
0102260,"Ardmore town, Alabama",25,0,Pass,34,0,Pass
0102320,"Argo city, Alabama",26,0,Pass,26,0,Pass
0102428,"Ariton town, Alabama",23,0,Pass,41,0,Pass
0102500,"Arley town, Alabama",17,0,Pass,24,0,Pass
0102836,"Ashford city, Alabama",18,0,Pass,57,0,Pass
0102860,"Ashland town, Alabama",63,0,Pass,74,0,Pass
0102908,"Ashville city, Alabama",31,0,Pass,112,0,Pass
0102956,"Athens city, Alabama",98,0,Pass,137,0,Pass
0103004,"Atmore city, Alabama",199,0,Pass,199,0,Pass
0103028,"Attalla city, Alabama",56,0,Pass,158,0,Pass
0103076,"Auburn city, Alabama",203,0,Pass,631,0,Pass
0103220,"Autaugaville town, Alabama",7,0,Pass,38,0,Pass
0103364,"Avon town, Alabama",0,0,Pass,0,0,Pass
0103508,"Axis CDP, Alabama",0,0,Pass,0,0,Pass
0103556,"Babbie town, Alabama",3,0,Pass,33,0,Pass
0103676,"Baileyton town, Alabama",5,0,Pass,10,0,Pass
0103724,"Bakerhill town, Alabama",0,0,Pass,2,0,Pass
0103820,"Ballplay CDP, Alabama",0,0,Pass,0,0,Pass
0103940,"Banks town, Alabama",0,0,Pass,0,0,Pass
0104660,"Bay Minette city, Alabama",63,0,Pass,110,0,Pass
0104684,"Bayou La Batre city, Alabama",57,0,Pass,124,0,Pass
0104852,"Bear Creek town, Alabama",32,0,Pass,42,0,Pass
0104900,"Beatrice town, Alabama",6,0,Pass,6,0,Pass
0104948,"Beaverton town, Alabama",0,0,Pass,0,0,Pass
0105140,"Belgreen CDP, Alabama",0,0,Pass,0,0,Pass
0105164,"Belk town, Alabama",0,0,Pass,0,0,Pass
0105188,"Bellamy CDP, Alabama",0,0,Pass,0,0,Pass
0105212,"Belle Fontaine CDP, Alabama",0,0,Pass,25,0,Pass
0105692,"Benton town, Alabama",0,0,Pass,0,0,Pass
0105812,"Berlin town, Alabama",2,0,Pass,19,0,Pass
0105932,"Berry town, Alabama",25,0,Pass,25,0,Pass
0105980,"Bessemer city, Alabama",364,0,Pass,711,0,Pass
0106460,"Billingsley town, Alabama",0,0,Pass,4,0,Pass
0107000,"Birmingham city, Alabama",2502,0,Pass,4665,0,Pass
0107120,"Black town, Alabama",3,0,Pass,6,0,Pass
0107456,"Blountsville town, Alabama",58,0,Pass,79,0,Pass
0107588,"Blue Ridge CDP, Alabama",0,0,Pass,22,0,Pass
0107672,"Blue Springs town, Alabama",15,0,Pass,15,0,Pass
0107912,"Boaz city, Alabama",69,0,Pass,188,0,Pass
0108104,"Boligee town, Alabama",0,0,Pass,0,0,Pass
0108248,"Bon Air town, Alabama",1,0,Pass,6,0,Pass
0108272,"Bon Secour CDP, Alabama",20,0,Pass,20,0,Pass
0108680,"Boykin CDP, Alabama",23,0,Pass,23,0,Pass
0109016,"Brantley town, Alabama",0,0,Pass,23,0,Pass
0109064,"Brantleyville CDP, Alabama",13,0,Pass,59,0,Pass
0109136,"Brent city, Alabama",111,0,Pass,128,0,Pass
0109208,"Brewton city, Alabama",27,0,Pass,62,0,Pass
0109328,"Bridgeport city, Alabama",50,0,Pass,69,0,Pass
0109400,"Brighton city, Alabama",6,0,Pass,54,0,Pass
0109424,"Brilliant town, Alabama",13,0,Pass,16,0,Pass
0109457,"Bristow Cove CDP, Alabama",0,0,Pass,0,0,Pass
0109500,"Brook Highland CDP, Alabama",36,0,Pass,110,0,Pass
